riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,CircleLeft.started,realCircleRight.started,realLineLeft.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVLeft.started,realNRight.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,"[1.5, 1, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1]","[1, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1]",16.82558229999995,18.818142299998726,return,0.18173800000658957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.017655399999057,21.01476659999753,v,0.4485093000039342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,21.516042399998696,21.516042399998696,21.516042399998696,21.516042399998696,21.516042399998696,21.516042399998696,21.516042399998696,21.516042399998696,21.516042399998696,21.516042399998696,v,2.366685300003155,25.47454569999536,27.488435200000822,27.488435200000822,27.488435200000822,27.488435200000822,27.488435200000822,27.488435200000822,0,28.503321700001834,31.154810899999575,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,31.154810899999575,31.154810899999575,31.154810899999575,31.154810899999575,31.154810899999575,31.154810899999575,31.154810899999575,31.154810899999575,31.154810899999575,31.154810899999575,n,2.557465300000331,35.143443100001605,36.16309519999777,36.16309519999777,36.16309519999777,36.16309519999777,36.16309519999777,36.16309519999777,35.16,37.17359159999614,41.617340600001626,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,41.617340600001626,41.617340600001626,41.617340600001626,41.617340600001626,41.617340600001626,41.617340600001626,41.617340600001626,41.617340600001626,41.617340600001626,41.617340600001626,v,1.0788344999964465,45.61077059999661,46.62615389999701,46.62615389999701,46.62615389999701,46.62615389999701,46.62615389999701,46.62615389999701,1.15,47.64097999999649,52.5678740000003,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,52.5678740000003,52.5678740000003,52.5678740000003,52.5678740000003,52.5678740000003,52.5678740000003,52.5678740000003,52.5678740000003,52.5678740000003,52.5678740000003,n,0.6961071000041557,56.56110500000068,59.573388999997405,59.573388999997405,59.573388999997405,59.573388999997405,59.573388999997405,59.573388999997405,40.41,60.58838970000215,64.90011209999648,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
21.56,0,11.96,1,1,2,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,64.90011209999648,64.90011209999648,64.90011209999648,64.90011209999648,64.90011209999648,64.90011209999648,64.90011209999648,64.90011209999648,64.90011209999648,64.90011209999648,None,,68.90910779999831,69.92420449999918,69.92420449999918,69.92420449999918,69.92420449999918,69.92420449999918,69.92420449999918,nan,70.93927959999564,75.24953549999918,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.24953549999918,75.24953549999918,v,2.654596500004118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,12.68,0.0,5.66,0,,,,,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.94846379999944,77.94846379999944,77.94846379999944,77.94846379999944,77.94846379999944,77.94846379999944,77.94846379999944,77.94846379999944,77.94846379999944,77.94846379999944,2,v,1.09019580000313,81.92278539999825,82.42216689999623,82.42216689999623,82.42216689999623,82.42216689999623,82.42216689999623,82.42216689999623,5.66,0,83.43705439999758,87.84754819999944,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,1,14.72,0.0,4.64,0,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.84754819999944,87.84754819999944,87.84754819999944,87.84754819999944,87.84754819999944,87.84754819999944,87.84754819999944,87.84754819999944,87.84754819999944,87.84754819999944,1,n,0.8710693000030005,91.84117179999885,92.34059819999675,92.34059819999675,92.34059819999675,92.34059819999675,92.34059819999675,92.34059819999675,4.64,0,93.35550469999725,97.49973859999591,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,10.55,0.0,6.73,0,,,,,0,2,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,2,v,0.6750412000037613,101.49332270000014,101.992734499996,101.992734499996,101.992734499996,101.992734499996,101.992734499996,101.992734499996,6.73,0,103.00765429999592,107.8341838999986,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,17.94,0.0,9.03,0,,,,,0,3,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,2,n,0.660398100000748,111.82779370000208,112.32731760000024,112.32731760000024,112.32731760000024,112.32731760000024,112.32731760000024,112.32731760000024,0.0,1,113.34214000000065,117.68649390000064,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,1,16.26,0.0,9.87,0,,,,,0,4,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,1,v,0.59354020000319,121.67941579999751,122.17907829999604,122.17907829999604,122.17907829999604,122.17907829999604,122.17907829999604,122.17907829999604,0.0,1,123.19384269999864,128.1037451000011,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
