riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,CircleLeft.started,realCircleRight.started,realLineLeft.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVLeft.started,realNRight.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1]","[1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1]",18.56541400000424,20.571060399997805,return,0.4161681999976281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_23h35.20.699,cgeRDMtask,2022.2.1,60.1368112468341,
,,,,,,,,,,,,,,,,,,,,,,,,21.00358309999865,23.000567000002775,v,0.1381065999958082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_23h35.20.699,cgeRDMtask,2022.2.1,60.1368112468341,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,23.179424100002507,23.179424100002507,23.179424100002507,23.179424100002507,23.179424100002507,23.179424100002507,23.179424100002507,23.179424100002507,23.179424100002507,23.179424100002507,v,1.3196687000017846,27.160895499997423,29.174952100001974,29.174952100001974,29.174952100001974,29.174952100001974,29.174952100001974,29.174952100001974,0,30.189605999999912,33.88450610000291,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,999,2023-09-26_23h35.20.699,cgeRDMtask,2022.2.1,60.1368112468341,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,,,33.88450610000291,33.88450610000291,33.88450610000291,33.88450610000291,33.88450610000291,33.88450610000291,33.88450610000291,33.88450610000291,33.88450610000291,33.88450610000291,n,1.7104304999957094,37.87799040000391,38.89340159999847,38.89340159999847,38.89340159999847,38.89340159999847,38.89340159999847,38.89340159999847,35.16,39.90828560000227,45.20078289999947,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,999,2023-09-26_23h35.20.699,cgeRDMtask,2022.2.1,60.1368112468341,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,,,,,,,,,,45.20078289999947,45.20078289999947,45.20078289999947,45.20078289999947,45.20078289999947,45.20078289999947,45.20078289999947,45.20078289999947,45.20078289999947,45.20078289999947,n,1.3386137999987113,49.19425570000021,50.20976060000248,50.20976060000248,50.20976060000248,50.20976060000248,50.20976060000248,50.20976060000248,0,51.224520000003395,55.90139430000272,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,999,2023-09-26_23h35.20.699,cgeRDMtask,2022.2.1,60.1368112468341,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,55.90139430000272,55.90139430000272,55.90139430000272,55.90139430000272,55.90139430000272,55.90139430000272,55.90139430000272,55.90139430000272,55.90139430000272,55.90139430000272,v,0.5100707999954466,59.89478930000041,62.907287399997585,62.907287399997585,62.907287399997585,62.907287399997585,62.907287399997585,62.907287399997585,0,63.92209500000172,68.41577949999919,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,999,2023-09-26_23h35.20.699,cgeRDMtask,2022.2.1,60.1368112468341,
21.56,0,11.96,1,1,2,,,,,0,4,4,4,,,,,,,,,,,,,,,68.41577949999919,68.41577949999919,68.41577949999919,68.41577949999919,68.41577949999919,68.41577949999919,68.41577949999919,68.41577949999919,68.41577949999919,68.41577949999919,n,0.587881199993717,72.40928079999867,73.42477379999764,73.42477379999764,73.42477379999764,73.42477379999764,73.42477379999764,73.42477379999764,0,74.43952580000041,78.86639590000414,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,999,2023-09-26_23h35.20.699,cgeRDMtask,2022.2.1,60.1368112468341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.86639590000414,78.86639590000414,v,1.0563632999983383,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_23h35.20.699,cgeRDMtask,2022.2.1,60.1368112468341,
,,,,,1,17.94,0.0,9.03,0,,,,,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.9536339000042,79.9536339000042,79.9536339000042,79.9536339000042,79.9536339000042,79.9536339000042,79.9536339000042,79.9536339000042,79.9536339000042,79.9536339000042,1,v,1.1699282999979914,83.94198909999977,84.44149160000234,84.44149160000234,84.44149160000234,84.44149160000234,84.44149160000234,84.44149160000234,17.94,1,85.45631069999945,89.8002151000037,999,2023-09-26_23h35.20.699,cgeRDMtask,2022.2.1,60.1368112468341,
,,,,,2,19.86,0.0,0.0,1,,,,,0,1,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8002151000037,89.8002151000037,89.8002151000037,89.8002151000037,89.8002151000037,89.8002151000037,89.8002151000037,89.8002151000037,89.8002151000037,89.8002151000037,2,n,0.5948993999991217,93.79382479999913,94.29329290000169,94.29329290000169,94.29329290000169,94.29329290000169,94.29329290000169,94.29329290000169,19.86,1,95.30806799999846,99.71858169999905,999,2023-09-26_23h35.20.699,cgeRDMtask,2022.2.1,60.1368112468341,
