riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,pracNoRespText.stopped,pracRiskOC.stopped,pracSafeOC.stopped,pracOCtext.stopped,pracHideRisk.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,CircleLeft.started,realCircleRight.started,realLineLeft.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVLeft.started,realNRight.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,cgeRDMendText.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1]","[1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1]",21.3078547000041,23.301592500007246,return,0.5806068999954732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-27_17h16.05.563,cgeRDMtask,2022.2.1,60.129362315116126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.900807600002736,25.89762139999948,v,0.24087739999231417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-27_17h16.05.563,cgeRDMtask,2022.2.1,60.129362315116126,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,26.191456200001994,26.191456200001994,26.191456200001994,26.191456200001994,26.191456200001994,26.191456200001994,26.191456200001994,26.191456200001994,26.191456200001994,26.191456200001994,n,0.9333343999896897,30.158370100005413,32.17199580000306,32.17199580000306,32.17199580000306,32.17199580000306,32.17199580000306,32.17199580000306,9.45,33.18670560000464,37.263967999999295,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-27_17h16.05.563,cgeRDMtask,2022.2.1,60.129362315116126,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,37.263967999999295,37.263967999999295,37.263967999999295,37.263967999999295,37.263967999999295,37.263967999999295,37.263967999999295,37.263967999999295,37.263967999999295,37.263967999999295,v,0.8692928999953438,41.25796020000416,42.27328470000066,42.27328470000066,42.27328470000066,42.27328470000066,42.27328470000066,42.27328470000066,53.27,43.27192150001065,49.41218929999741,43.27192150001065,43.27192150001065,43.27192150001065,43.27192150001065,43.27192150001065,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-27_17h16.05.563,cgeRDMtask,2022.2.1,60.129362315116126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.41218929999741,49.41218929999741,v,1.1761097999988124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-27_17h16.05.563,cgeRDMtask,2022.2.1,60.129362315116126,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.62310310000612,50.62310310000612,50.62310310000612,50.62310310000612,50.62310310000612,50.62310310000612,50.62310310000612,50.62310310000612,50.62310310000612,50.62310310000612,1,v,1.1581077000009827,54.604496500003734,55.10550050000893,55.10550050000893,55.10550050000893,55.10550050000893,55.10550050000893,55.10550050000893,20.03,1,56.11891699999978,59.96321600000374,,,,,,,,,,,,,,,,,,,,,,999,2023-09-27_17h16.05.563,cgeRDMtask,2022.2.1,60.129362315116126,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.96321600000374,59.96321600000374,59.96321600000374,59.96321600000374,59.96321600000374,59.96321600000374,59.96321600000374,59.96321600000374,59.96321600000374,59.96321600000374,2,n,0.9493972999916878,63.95716700000048,64.45620780000172,64.45620780000172,64.45620780000172,64.45620780000172,64.45620780000172,64.45620780000172,28.21,1,65.47163210000144,69.75688280000759,,,,,,,,,,,,,,,,,,,,,,999,2023-09-27_17h16.05.563,cgeRDMtask,2022.2.1,60.129362315116126,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,69.75688280000759,73.75903860000835,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,94,201,,,,,,,,,,,,,,,,999,2023-09-27_17h16.05.563,cgeRDMtask,2022.2.1,60.129362315116126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.75903860000835,75.7725502000103,75.7725502000103,v,0.8459231999877375,,,,,,,,,,,999,2023-09-27_17h16.05.563,cgeRDMtask,2022.2.1,60.129362315116126,
,,,,,1,15.5891054884414,0,8.68703045739094,,0.514884868079611,1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.65242779999971,76.65242779999971,76.65242779999971,76.65242779999971,76.65242779999971,76.65242779999971,76.65242779999971,76.65242779999971,76.65242779999971,76.65242779999971,1,v,1.0429394999955548,80.6322874000034,,,,,,,0,1,82.14643130000331,86.10716729999695,,,,,,,,,,,,81.14834080000583,81.14834080000583,81.14834080000583,81.14834080000583,81.14834080000583,,,,,,999,2023-09-27_17h16.05.563,cgeRDMtask,2022.2.1,60.129362315116126,
