riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,CircleLeft.started,realCircleRight.started,realLineLeft.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVLeft.started,realNRight.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,cgeRDMendText.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1]","[1, 1, 1, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1]",29.84598479999113,31.835232499986887,return,0.5642970000044443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_13h40.51.340,cgeRDMtask,2022.2.1,60.18987498197303,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.41760789998807,34.41464469998027,v,0.44068989998777397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_13h40.51.340,cgeRDMtask,2022.2.1,60.18987498197303,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,34.908517299976666,34.908517299976666,34.908517299976666,34.908517299976666,34.908517299976666,34.908517299976666,34.908517299976666,34.908517299976666,34.908517299976666,34.908517299976666,n,1.5306067999918014,38.87456269998802,40.88798049997422,40.88798049997422,40.88798049997422,40.88798049997422,40.88798049997422,40.88798049997422,9.45,41.90337879999424,45.38180279999506,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_13h40.51.340,cgeRDMtask,2022.2.1,60.18987498197303,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,45.38180279999506,45.38180279999506,45.38180279999506,45.38180279999506,45.38180279999506,45.38180279999506,45.38180279999506,45.38180279999506,45.38180279999506,45.38180279999506,v,0.9286695999908261,49.375414199981606,50.3908012000029,50.3908012000029,50.3908012000029,50.3908012000029,50.3908012000029,50.3908012000029,53.27,51.40555820000009,57.47982189999311,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_13h40.51.340,cgeRDMtask,2022.2.1,60.18987498197303,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.47982189999311,57.47982189999311,v,1.3827161000226624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_13h40.51.340,cgeRDMtask,2022.2.1,60.18987498197303,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.907850099989446,58.907850099989446,58.907850099989446,58.907850099989446,58.907850099989446,58.907850099989446,58.907850099989446,58.907850099989446,58.907850099989446,58.907850099989446,2,n,1.2986821999948006,62.888351200002944,63.38765550000244,63.38765550000244,63.38765550000244,63.38765550000244,63.38765550000244,63.38765550000244,20.03,1,64.40272429998731,68.11418999999296,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_13h40.51.340,cgeRDMtask,2022.2.1,60.18987498197303,
,,,,,1,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.11418999999296,68.11418999999296,68.11418999999296,68.11418999999296,68.11418999999296,68.11418999999296,68.11418999999296,68.11418999999296,68.11418999999296,68.11418999999296,1,v,0.5729219999921042,72.10770110000158,72.60739819999435,72.60739819999435,72.60739819999435,72.60739819999435,72.60739819999435,72.60739819999435,28.21,1,73.62208349999855,78.31841099998564,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_13h40.51.340,cgeRDMtask,2022.2.1,60.18987498197303,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,78.31841099998564,82.32583919999888,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,94,201,,,,,,,,,,,,,,,,999,2023-09-28_13h40.51.340,cgeRDMtask,2022.2.1,60.18987498197303,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.32583919999888,84.3393950999889,84.3393950999889,v,1.0115400000067893,,,,,,,,,,,999,2023-09-28_13h40.51.340,cgeRDMtask,2022.2.1,60.18987498197303,
,,,,,2,15.5891054884414,0,8.68703045739094,,0.514884868079611,1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.38310999999521,85.38310999999521,85.38310999999521,85.38310999999521,85.38310999999521,85.38310999999521,85.38310999999521,85.38310999999521,85.38310999999521,85.38310999999521,2,n,1.0319257999944966,89.36503649997758,89.86487259998103,,,,,,15.5891054884414,1,90.8793545999797,94.85700509999879,,,,,,,,,,,,89.86487259998103,89.86487259998103,89.86487259998103,89.86487259998103,89.86487259998103,,,,,,999,2023-09-28_13h40.51.340,cgeRDMtask,2022.2.1,60.18987498197303,
