riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,pracNoRespText.stopped,pracSafeOC.stopped,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,CircleLeft.started,realCircleRight.started,realLineLeft.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVLeft.started,realNRight.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5]","[1, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5]",42.33157389998087,44.325297699979274,return,1.7363343000179157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.089122200006386,48.08613599999808,v,1.639575799985323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,49.762044799979776,49.762044799979776,49.762044799979776,49.762044799979776,49.762044799979776,49.762044799979776,49.762044799979776,49.762044799979776,49.762044799979776,49.762044799979776,v,3.583985700010089,53.744235899997875,55.75815700000385,55.75815700000385,55.75815700000385,55.75815700000385,55.75815700000385,55.75815700000385,56.773199899995234,56.773199899995234,0,60.76703279998037,62.19827589998022,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,62.19827589998022,62.19827589998022,62.19827589998022,62.19827589998022,62.19827589998022,62.19827589998022,62.19827589998022,62.19827589998022,62.19827589998022,62.19827589998022,None,,66.20874989998993,67.22382210000069,67.22382210000069,67.22382210000069,67.22382210000069,67.22382210000069,67.22382210000069,68.23907939999481,68.23907939999481,nan,72.23302009998588,75.66152920000604,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
8.27,0,1.15,1,2,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,75.66152920000604,75.66152920000604,75.66152920000604,75.66152920000604,75.66152920000604,75.66152920000604,75.66152920000604,75.66152920000604,75.66152920000604,75.66152920000604,n,0.7039592000073753,79.6551838000014,80.67048919998342,80.67048919998342,80.67048919998342,80.67048919998342,80.67048919998342,80.67048919998342,81.68560279998928,81.68560279998928,0,85.67940319998888,90.98846719998983,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
45.88,0,40.41,3,1,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,90.98846719998983,90.98846719998983,90.98846719998983,90.98846719998983,90.98846719998983,90.98846719998983,90.98846719998983,90.98846719998983,90.98846719998983,90.98846719998983,v,1.988368399994215,94.98202379999566,97.99444869998842,97.99444869998842,97.99444869998842,97.99444869998842,97.99444869998842,97.99444869998842,99.0095495999849,99.0095495999849,0,103.00339719999465,106.01541510000243,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.01541510000243,106.01541510000243,v,1.724769099993864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
,,,,,1,28.21,0.0,3.89,0,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.77679449997959,107.77679449997959,107.77679449997959,107.77679449997959,107.77679449997959,107.77679449997959,107.77679449997959,107.77679449997959,107.77679449997959,107.77679449997959,1,v,1.6359812000009697,111.75680919998558,112.25620629999321,112.25620629999321,112.25620629999321,112.25620629999321,112.25620629999321,112.25620629999321,28.21,1,113.27152350000688,116.67152609999175,,,,,,,,,,,,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.67152609999175,116.67152609999175,116.67152609999175,116.67152609999175,116.67152609999175,116.67152609999175,116.67152609999175,116.67152609999175,116.67152609999175,116.67152609999175,2,n,1.3052902999916114,120.64395709999371,,121.15977659999044,121.15977659999044,121.15977659999044,121.15977659999044,121.15977659999044,20.03,1,122.15800090000266,126.67784560000291,,,,,,,,,,,,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,126.67784560000291,130.67855280000367,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,94,201,,,,,,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.67855280000367,132.69197329998133,132.69197329998133,v,8.104454699991038,,,,,,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
,,,,,1,15.5891054884414,0,8.68703045739094,,0.514884868079611,1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.84244639999815,140.84244639999815,140.84244639999815,140.84244639999815,140.84244639999815,140.84244639999815,140.84244639999815,140.84244639999815,140.84244639999815,140.84244639999815,1,v,2.774496600002749,144.80741479998687,,,,,,,15.5891054884414,1,146.3218801000039,148.5690595000051,,,,,,,,,,,,145.32336539999233,145.32336539999233,145.32336539999233,145.32336539999233,145.32336539999233,999,2023-09-29_02h12.45.295,cgeRDMtask,2022.2.1,60.09958501153191,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.5690595000051,148.5690595000051,148.5690595000051,148.5690595000051,148.5690595000051,148.5690595000051,148.5690595000051,148.5690595000051,148.5690595000051,148.5690595000051,1,v,2.26730450001196,152.54579239999293,153.0528639999975,,,,,,0,1,154.06002859998262,,,,,,,,,,,,,153.0528639999975,153.0528639999975,153.0528639999975,153.0528639999975,153.0528639999975,,,,,,
