riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,cgeRDMendText.started,cgeRDMendResp.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5]","[3, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3]",21.815521199954674,23.820002699969336,return,6.784002500004135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_16h06.13.366,cgeRDMtask,2022.2.1,60.074817187529916,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.626388699980453,32.623223099973984,v,0.6845106999971904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_16h06.13.366,cgeRDMtask,2022.2.1,60.074817187529916,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,33.35153559996979,33.35153559996979,33.35153559996979,33.35153559996979,33.35153559996979,33.35153559996979,33.35153559996979,33.35153559996979,33.35153559996979,33.35153559996979,v,1.1485307000111789,37.332836299960036,38.348334199981764,38.348334199981764,38.348334199981764,38.348334199981764,38.348334199981764,38.348334199981764,18.23,39.363257299992256,42.375554999976885,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_16h06.13.366,cgeRDMtask,2022.2.1,60.074817187529916,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,42.375554999976885,42.375554999976885,42.375554999976885,42.375554999976885,42.375554999976885,42.375554999976885,42.375554999976885,42.375554999976885,42.375554999976885,42.375554999976885,v,0.828504899982363,46.36929939995753,47.384592599992175,47.384592599992175,47.384592599992175,47.384592599992175,47.384592599992175,47.384592599992175,53.27,48.39946509996662,51.910984199959785,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_16h06.13.366,cgeRDMtask,2022.2.1,60.074817187529916,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.910984199959785,51.910984199959785,v,1.620214200054761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_16h06.13.366,cgeRDMtask,2022.2.1,60.074817187529916,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.560721699963324,53.560721699963324,53.560721699963324,53.560721699963324,53.560721699963324,53.560721699963324,53.560721699963324,53.560721699963324,53.560721699963324,53.560721699963324,2,n,1.3787745999870822,57.55230569996638,58.5676338999765,58.5676338999765,58.5676338999765,58.5676338999765,58.5676338999765,20.03,1,59.565945699985605,62.578256899956614,,,,,,,,,,,,,,,,,,,999,2023-09-29_16h06.13.366,cgeRDMtask,2022.2.1,60.074817187529916,
,,,,,1,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.578256899956614,62.578256899956614,62.578256899956614,62.578256899956614,62.578256899956614,62.578256899956614,62.578256899956614,62.578256899956614,62.578256899956614,62.578256899956614,1,None,,66.5886716999812,67.58715340000344,67.58715340000344,67.58715340000344,67.58715340000344,67.58715340000344,nan,nan,68.58585719997063,72.3038253999548,,,,,,,,,,,,,,,,,,,999,2023-09-29_16h06.13.366,cgeRDMtask,2022.2.1,60.074817187529916,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd115_muInd201.csv,72.3038253999548,76.30743289995007,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd115_muInd201.csv,115,201,,,,,,,,,,,,,999,2023-09-29_16h06.13.366,cgeRDMtask,2022.2.1,60.074817187529916,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.30743289995007,78.32108369999332,78.32108369999332,v,0.9380493999924511,,,,,,,,999,2023-09-29_16h06.13.366,cgeRDMtask,2022.2.1,60.074817187529916,
,,,,,2,8.99679791021626,0,5.45723342288984,,0.509716462553446,1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.30062100000214,79.30062100000214,79.30062100000214,79.30062100000214,79.30062100000214,79.30062100000214,79.30062100000214,79.30062100000214,79.30062100000214,79.30062100000214,2,v,0.42326549999415874,83.28028289997019,,,,,,5.45723342288984,0,85.29388109996216,88.30625349999173,,,,,,,,,,,,84.29553799994756,84.29553799994756,84.29553799994756,84.29553799994756,84.29553799994756,,,999,2023-09-29_16h06.13.366,cgeRDMtask,2022.2.1,60.074817187529916,
