riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,CGErdmStartText.started,CGErdmStartResp.started,initITIstatic,initITIdynamic,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,isiFix.started,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,realChoiceResp.rt,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,cgeRDMendText.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.84730889997445,19.838862699980382,"[3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5]","[3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3]",return,0.1123920000391081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.97169809998013,21.96900729998015,v,2.239248800033238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,24.253962800023146,24.253962800023146,24.253962800023146,24.253962800023146,24.253962800023146,24.253962800023146,24.253962800023146,24.253962800023146,24.253962800023146,24.253962800023146,v,3.258217299997341,28.226016699976753,29.24122249998618,29.24122249998618,29.24122249998618,29.24122249998618,29.24122249998618,29.24122249998618,0,30.256283700000495,33.268796499993186,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,33.268796499993186,33.268796499993186,33.268796499993186,33.268796499993186,33.268796499993186,33.268796499993186,33.268796499993186,33.268796499993186,33.268796499993186,33.268796499993186,n,1.1060570999979973,37.26253349997569,38.27756740001496,38.27756740001496,38.27756740001496,38.27756740001496,38.27756740001496,38.27756740001496,35.16,39.292909700016025,42.80451340001309,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80451340001309,42.80451340001309,v,1.1218761000200175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.96467249997659,43.96467249997659,43.96467249997659,43.96467249997659,43.96467249997659,43.96467249997659,43.96467249997659,43.96467249997659,43.96467249997659,43.96467249997659,2,None,47.9632530999952,48.96140899998136,48.96140899998136,48.96140899998136,48.96140899998136,48.96140899998136,nan,nan,49.9600246999762,53.47178179997718,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.47178179997718,53.47178179997718,53.47178179997718,53.47178179997718,53.47178179997718,53.47178179997718,53.47178179997718,53.47178179997718,53.47178179997718,53.47178179997718,2,v,57.465510300011374,58.48101490002591,58.48101490002591,58.48101490002591,58.48101490002591,58.48101490002591,1.99,0,59.47955940000247,62.68006849999074,1.6228666999959387,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd001_muInd201.csv,62.68006849999074,66.68538470001658,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd001_muInd201.csv,1,201,,,,,,,,,,,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.68538470001658,68.69858030002797,68.69858030002797,n,1.3326834000181407,,,,,,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
,,,,,1,19.1866640809574,0,1.89376777844736,,0.51545255404816,1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.08045260002837,70.08045260002837,70.08045260002837,70.08045260002837,70.08045260002837,70.08045260002837,70.08045260002837,70.08045260002837,70.08045260002837,70.08045260002837,1,None,74.07346039998811,,,,,,nan,nan,76.0705451000249,79.58214940002654,,,,,,,,,,,,,75.0720319999964,75.0720319999964,75.0720319999964,75.0720319999964,75.0720319999964,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
,,,,,2,26.1877530055935,0,2.56661734576337,,0.536505194235933,1,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.58214940002654,79.58214940002654,79.58214940002654,79.58214940002654,79.58214940002654,79.58214940002654,79.58214940002654,79.58214940002654,79.58214940002654,79.58214940002654,2,v,83.57597770000575,,,,,,2.56661734576337,0,85.5896501999814,89.10102950001601,3.31305140000768,,,,,,,,,,,,84.59114869998302,84.59114869998302,84.59114869998302,84.59114869998302,84.59114869998302,,,,,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.10102950001601,89.10102950001601,return,3.0178584000095725,,999,2023-09-29_18h03.36.323,cgeRDMtask,2022.2.1,59.90046938229238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.14655559998937,,,,,,
