riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,CGErdmStartText.started,CGErdmStartResp.started,initITIstatic,initITIdynamic,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,cgeRDMendText.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.10614759998862,38.105568500002846,"[3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3]","[3.5, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5]",return,7.611833800037857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_01h07.55.831,cgeRDMtask,2022.2.4,60.0640643433644,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.727496000006795,47.72453979996499,v,0.21442620002198964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_01h07.55.831,cgeRDMtask,2022.2.4,60.0640643433644,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,47.981810999976005,47.981810999976005,47.981810999976005,47.981810999976005,47.981810999976005,47.981810999976005,47.981810999976005,47.981810999976005,47.981810999976005,47.981810999976005,v,1.472827299963683,49.47187629999826,50.48733729997184,50.48733729997184,50.48733729997184,50.48733729997184,50.48733729997184,50.48733729997184,18.23,51.50224900001194,54.51444850000553,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_01h07.55.831,cgeRDMtask,2022.2.4,60.0640643433644,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,54.51444850000553,54.51444850000553,54.51444850000553,54.51444850000553,54.51444850000553,54.51444850000553,54.51444850000553,54.51444850000553,54.51444850000553,54.51444850000553,n,1.0288842999725603,55.56248779996531,56.57773719995748,56.57773719995748,56.57773719995748,56.57773719995748,56.57773719995748,56.57773719995748,35.16,57.592870599997696,61.104282499989495,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_01h07.55.831,cgeRDMtask,2022.2.4,60.0640643433644,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.104282499989495,61.104282499989495,v,1.1013631999958307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_01h07.55.831,cgeRDMtask,2022.2.4,60.0640643433644,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.24675990000833,62.24675990000833,62.24675990000833,62.24675990000833,62.24675990000833,62.24675990000833,62.24675990000833,62.24675990000833,62.24675990000833,62.24675990000833,2,v,0.7463335999636911,63.01799209997989,64.03499239997473,64.03499239997473,64.03499239997473,64.03499239997473,64.03499239997473,1.99,0,65.03139749995898,68.54328029998578,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_01h07.55.831,cgeRDMtask,2022.2.4,60.0640643433644,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.54328029998578,68.54328029998578,68.54328029998578,68.54328029998578,68.54328029998578,68.54328029998578,68.54328029998578,68.54328029998578,68.54328029998578,68.54328029998578,2,n,1.3572329999879003,69.92425679997541,70.93940959998872,70.93940959998872,70.93940959998872,70.93940959998872,70.93940959998872,0.0,1,71.9378652999876,75.17647559999023,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_01h07.55.831,cgeRDMtask,2022.2.4,60.0640643433644,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd005_muInd001.csv,75.17647559999023,79.17710329999682,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd005_muInd001.csv,5,1,,,,,,,,,,,,,,,,999,2023-09-30_01h07.55.831,cgeRDMtask,2022.2.4,60.0640643433644,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.17710329999682,81.1906517999596,81.1906517999596,v,1.9413383000064641,,,,,,,,,,,999,2023-09-30_01h07.55.831,cgeRDMtask,2022.2.4,60.0640643433644,
,,,,,1,11.4623965801438,0,6.43253881942946,,0.0946881868016171,0,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.17275779996999,83.17275779996999,83.17275779996999,83.17275779996999,83.17275779996999,83.17275779996999,83.17275779996999,83.17275779996999,83.17275779996999,83.17275779996999,1,v,1.208941999997478,84.40219559997786,,,,,,0,1,86.41608130000532,89.92787089996273,,,,,,,,,,,,85.41759269998875,85.41759269998875,85.41759269998875,85.41759269998875,85.41759269998875,,,,,,999,2023-09-30_01h07.55.831,cgeRDMtask,2022.2.4,60.0640643433644,
