riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,CGErdmStartText.started,CGErdmStartResp.started,initITIstatic,initITIdynamic,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,loc,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVleft.started,realNright.started,realChoiceResp.started,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,cgeRDMendText.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.30181309999898,37.30350699997507,"[3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3]","[3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3]",return,3.57338630000595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h05.39.204,cgeRDMtask,2022.2.4,60.14762633082718,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.89792279998073,42.89498320000712,v,1.6635424999985844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h05.39.204,cgeRDMtask,2022.2.4,60.14762633082718,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,44.59536350000417,44.59536350000417,44.59536350000417,44.59536350000417,44.59536350000417,44.59536350000417,44.59536350000417,44.59536350000417,44.59536350000417,44.59536350000417,1,v,1.4977680000010878,46.12338379997527,47.13880469999276,47.13880469999276,47.13880469999276,47.13880469999276,47.13880469999276,47.13880469999276,18.23,48.15371689997846,51.16618080000626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h05.39.204,cgeRDMtask,2022.2.4,60.14762633082718,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,51.16618080000626,51.16618080000626,51.16618080000626,51.16618080000626,51.16618080000626,51.16618080000626,51.16618080000626,51.16618080000626,51.16618080000626,51.16618080000626,1,v,1.3508955999859609,52.54753719997825,53.562362500000745,53.562362500000745,53.562362500000745,53.562362500000745,53.562362500000745,53.562362500000745,53.27,54.57730090001132,58.0886606000131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h05.39.204,cgeRDMtask,2022.2.4,60.14762633082718,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0886606000131,58.0886606000131,n,0.8500290000229143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h05.39.204,cgeRDMtask,2022.2.4,60.14762633082718,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,58.974945699970704,58.974945699970704,58.974945699970704,58.974945699970704,58.974945699970704,58.974945699970704,58.974945699970704,58.974945699970704,58.974945699970704,58.974945699970704,v,1.582771599991247,60.58485980000114,61.60108679998666,61.60108679998666,61.60108679998666,61.60108679998666,61.60108679998666,20.03,1,62.59851859998889,66.11018129996955,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h05.39.204,cgeRDMtask,2022.2.4,60.14762633082718,
,,,,,1,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,66.11018129996955,66.11018129996955,66.11018129996955,66.11018129996955,66.11018129996955,66.11018129996955,66.11018129996955,66.11018129996955,66.11018129996955,66.11018129996955,n,1.0254195999586955,67.15831699996488,68.17356349999318,68.17356349999318,68.17356349999318,68.17356349999318,68.17356349999318,3.89,0,69.17195049999282,72.9548916000058,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h05.39.204,cgeRDMtask,2022.2.4,60.14762633082718,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd004_muInd201.csv,72.9548916000058,76.96021250000922,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd004_muInd201.csv,4,201,,,,,,,,,,,,,,,,999,2023-09-30_03h05.39.204,cgeRDMtask,2022.2.4,60.14762633082718,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.96021250000922,78.97391589998733,78.97391589998733,v,1.5381825999938883,,,,,,,,,,,999,2023-09-30_03h05.39.204,cgeRDMtask,2022.2.4,60.14762633082718,
,,,,,2,15.4418135024724,0,7.81946189777227,,3.89439206292843e-11,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,80.55308979999973,80.55308979999973,80.55308979999973,80.55308979999973,80.55308979999973,80.55308979999973,80.55308979999973,80.55308979999973,80.55308979999973,80.55308979999973,v,0.9566124000120908,81.53665600001113,,,,,,7.81946189777227,0,83.55037509999238,86.56271480000578,,,,,,,,,,,,82.55207259999588,82.55207259999588,82.55207259999588,82.55207259999588,82.55207259999588,,,,,,999,2023-09-30_03h05.39.204,cgeRDMtask,2022.2.4,60.14762633082718,
