riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,cgeRDMstartTxt.started,cgeRDMstartResp.started,initITIstatic,initITIdynamic,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,loc,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFitTxt.started,setupBestFitTxt.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,loadDynaChoicesTxt.started,dynaStartTxt.started,dynaStartResp.started,dynaStartResp.keys,dynaStartResp.rt,dynaNoRespTxt.started,dynaRiskOC.started,dynaSafeOC.started,dynaOCtxt.started,dynaHideRisk.started,cgeRDMendTxt.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.593205200042576,18.588932800048497,"[3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3, 3.5]","[3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3]",return,2.2293267999775708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h06.36.160,cgeRDMtask,2022.2.4,60.03291004727494,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.835437400033697,22.832282900053542,v,0.5561893000267446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h06.36.160,cgeRDMtask,2022.2.4,60.03291004727494,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,23.425567900005262,23.425567900005262,23.425567900005262,23.425567900005262,23.425567900005262,23.425567900005262,23.425567900005262,23.425567900005262,23.425567900005262,23.425567900005262,1,v,0.8697523000300862,24.313537500042003,25.32889950001845,25.32889950001845,25.32889950001845,25.32889950001845,25.32889950001845,25.32889950001845,18.23,26.343749000050593,29.356066300009843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h06.36.160,cgeRDMtask,2022.2.4,60.03291004727494,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,29.356066300009843,29.356066300009843,29.356066300009843,29.356066300009843,29.356066300009843,29.356066300009843,29.356066300009843,29.356066300009843,29.356066300009843,29.356066300009843,1,n,0.9310393999912776,30.304447300033644,31.319608400051948,31.319608400051948,31.319608400051948,31.319608400051948,31.319608400051948,31.319608400051948,35.16,32.334700000006706,35.846275600022636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h06.36.160,cgeRDMtask,2022.2.4,60.03291004727494,
8.27,0,1.15,1,3,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,35.846275600022636,35.846275600022636,35.846275600022636,35.846275600022636,35.846275600022636,35.846275600022636,35.846275600022636,35.846275600022636,35.846275600022636,35.846275600022636,2,v,1.4644762999960221,37.327078000002075,38.342353000014555,38.342353000014555,38.342353000014555,38.342353000014555,38.342353000014555,38.342353000014555,1.15,39.35743830003776,42.369890000030864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h06.36.160,cgeRDMtask,2022.2.4,60.03291004727494,
45.88,0,40.41,1,3.5,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,42.369890000030864,42.369890000030864,42.369890000030864,42.369890000030864,42.369890000030864,42.369890000030864,42.369890000030864,42.369890000030864,42.369890000030864,42.369890000030864,1,n,0.8430346999666654,43.23498910001945,44.250224800023716,44.250224800023716,44.250224800023716,44.250224800023716,44.250224800023716,44.250224800023716,40.41,45.265176800021436,48.77650390000781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h06.36.160,cgeRDMtask,2022.2.4,60.03291004727494,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.77650390000781,48.77650390000781,v,1.9401325999642722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h06.36.160,cgeRDMtask,2022.2.4,60.03291004727494,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,50.741599300003145,50.741599300003145,50.741599300003145,50.741599300003145,50.741599300003145,50.741599300003145,50.741599300003145,50.741599300003145,50.741599300003145,50.741599300003145,v,3.043759800028056,53.80222950002644,54.817543300043326,54.817543300043326,54.817543300043326,54.817543300043326,54.817543300043326,3.89,0,55.81587600003695,59.32753990002675,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h06.36.160,cgeRDMtask,2022.2.4,60.03291004727494,
,,,,,2,17.73,0.0,3.13,0,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,59.32753990002675,59.32753990002675,59.32753990002675,59.32753990002675,59.32753990002675,59.32753990002675,59.32753990002675,59.32753990002675,59.32753990002675,59.32753990002675,n,0.7124072999577038,60.05951460002689,61.07476330001373,61.07476330001373,61.07476330001373,61.07476330001373,61.07476330001373,0.0,1,62.0731999000418,65.58472820004681,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h06.36.160,cgeRDMtask,2022.2.4,60.03291004727494,
,,,,,1,25.2,0.0,5.4,0,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,65.58472820004681,65.58472820004681,65.58472820004681,65.58472820004681,65.58472820004681,65.58472820004681,65.58472820004681,65.58472820004681,65.58472820004681,65.58472820004681,v,1.0715387999662198,66.68278700002702,67.6982664000243,67.6982664000243,67.6982664000243,67.6982664000243,67.6982664000243,0.0,1,68.69658210000489,71.7089303000248,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h06.36.160,cgeRDMtask,2022.2.4,60.03291004727494,
