riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,loc,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFitTxt.started,setupBestFitTxt.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,loadDynaChoicesTxt.started,dynaStartTxt.started,dynaStartResp.started,dynaStartResp.keys,dynaStartResp.rt,dynaNoRespTxt.started,dynaRiskOC.started,dynaSafeOC.started,dynaOCtxt.started,dynaHideRisk.started,cgeRDMendTxt.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3]","[3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5]",16.463195799999994,18.46918200000073,return,0.9888424999999188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h24.23.343,cgeRDMtask,2022.2.4,60.09438423985514,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.48415329999989,21.48115670000061,v,0.25786559999960446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h24.23.343,cgeRDMtask,2022.2.4,60.09438423985514,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,21.774139400000422,21.774139400000422,21.774139400000422,21.774139400000422,21.774139400000422,21.774139400000422,21.774139400000422,21.774139400000422,21.774139400000422,21.774139400000422,1,v,2.5325773999993544,24.326874899999893,25.342109500000333,25.342109500000333,25.342109500000333,25.342109500000333,25.342109500000333,25.342109500000333,0,26.357188900000438,29.36935960000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h24.23.343,cgeRDMtask,2022.2.4,60.09438423985514,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,29.36935960000028,29.36935960000028,29.36935960000028,29.36935960000028,29.36935960000028,29.36935960000028,29.36935960000028,29.36935960000028,29.36935960000028,29.36935960000028,1,n,1.7047114999995756,31.100006300000132,32.115049800000634,32.115049800000634,32.115049800000634,32.115049800000634,32.115049800000634,32.115049800000634,35.16,33.130303700000695,36.64175880000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h24.23.343,cgeRDMtask,2022.2.4,60.09438423985514,
8.27,0,1.15,1,3,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,36.64175880000039,36.64175880000039,36.64175880000039,36.64175880000039,36.64175880000039,36.64175880000039,36.64175880000039,36.64175880000039,36.64175880000039,36.64175880000039,2,v,1.4000992999990558,38.07289740000033,39.08801170000061,39.08801170000061,39.08801170000061,39.08801170000061,39.08801170000061,39.08801170000061,1.15,40.10308400000031,43.11749730000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h24.23.343,cgeRDMtask,2022.2.4,60.09438423985514,
45.88,0,40.41,1,3.5,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,43.11749730000065,43.11749730000065,43.11749730000065,43.11749730000065,43.11749730000065,43.11749730000065,43.11749730000065,43.11749730000065,43.11749730000065,43.11749730000065,1,n,1.3252334999997402,44.463044099999934,45.478386700000556,45.478386700000556,45.478386700000556,45.478386700000556,45.478386700000556,45.478386700000556,40.41,46.49363059999996,50.00480830000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h24.23.343,cgeRDMtask,2022.2.4,60.09438423985514,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00480830000015,50.00480830000015,v,1.3973677999993015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h24.23.343,cgeRDMtask,2022.2.4,60.09438423985514,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,51.421162300000105,51.421162300000105,51.421162300000105,51.421162300000105,51.421162300000105,51.421162300000105,51.421162300000105,51.421162300000105,51.421162300000105,51.421162300000105,v,2.1492960999994466,53.599532199999885,54.614670700000715,54.614670700000715,54.614670700000715,54.614670700000715,54.614670700000715,3.89,0,55.612898000000314,59.12455440000031,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h24.23.343,cgeRDMtask,2022.2.4,60.09438423985514,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,59.12455440000031,59.12455440000031,59.12455440000031,59.12455440000031,59.12455440000031,59.12455440000031,59.12455440000031,59.12455440000031,59.12455440000031,59.12455440000031,n,0.7253564999991795,59.87368140000035,60.888393300000644,60.888393300000644,60.888393300000644,60.888393300000644,60.888393300000644,0.0,1,61.886850400000185,64.89916990000074,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h24.23.343,cgeRDMtask,2022.2.4,60.09438423985514,
,,,,,1,25.2,0.0,5.4,0,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,64.89916990000074,64.89916990000074,64.89916990000074,64.89916990000074,64.89916990000074,64.89916990000074,64.89916990000074,64.89916990000074,64.89916990000074,64.89916990000074,v,1.1034786999989592,66.03056319999996,67.04594780000025,67.04594780000025,67.04594780000025,67.04594780000025,67.04594780000025,25.2,1,68.0442880999999,71.55580040000041,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h24.23.343,cgeRDMtask,2022.2.4,60.09438423985514,
