riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,choiceP,easy0difficult1,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFitTxt.started,setupBestFitTxt.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,loadDynaChoicesTxt.started,dynaStartTxt.started,dynaStartResp.started,dynaStartResp.keys,dynaStartResp.rt,dynaNoRespTxt.started,dynaRiskOC.started,dynaSafeOC.started,dynaOCtxt.started,dynaHideRisk.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3, 3, 3, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5]","[3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5]",15.780469599998469,17.78792659999999,return,0.40587980000054813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h01.32.803,cgeRDMtask,2022.2.4,60.118228508667165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.22055360000013,20.21750079999947,v,0.3116784000012558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h01.32.803,cgeRDMtask,2022.2.4,60.118228508667165,
18.23,0,9.45,1,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,20.564850799999476,20.564850799999476,20.564850799999476,20.564850799999476,20.564850799999476,20.564850799999476,20.564850799999476,20.564850799999476,20.564850799999476,20.564850799999476,v,1.73355520000041,22.33099029999903,23.346367399999508,23.346367399999508,23.346367399999508,23.346367399999508,23.346367399999508,23.346367399999508,0,24.361614099998405,27.3737000000001,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h01.32.803,cgeRDMtask,2022.2.4,60.118228508667165,
53.27,0,35.16,1,3.5,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,27.3737000000001,27.3737000000001,27.3737000000001,27.3737000000001,27.3737000000001,27.3737000000001,27.3737000000001,27.3737000000001,27.3737000000001,27.3737000000001,v,0.6284381999994366,28.02250229999845,29.037952499998937,29.037952499998937,29.037952499998937,29.037952499998937,29.037952499998937,29.037952499998937,0,30.052781999998842,33.564330999999584,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h01.32.803,cgeRDMtask,2022.2.4,60.118228508667165,
8.27,0,1.15,1,3,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,33.564330999999584,33.564330999999584,33.564330999999584,33.564330999999584,33.564330999999584,33.564330999999584,33.564330999999584,33.564330999999584,33.564330999999584,33.564330999999584,v,0.9893455000019458,34.57914299999902,35.59449649999988,35.59449649999988,35.59449649999988,35.59449649999988,35.59449649999988,35.59449649999988,1.15,36.60945569999967,39.62189949999993,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h01.32.803,cgeRDMtask,2022.2.4,60.118228508667165,
45.88,0,40.41,1,3.5,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,39.62189949999993,39.62189949999993,39.62189949999993,39.62189949999993,39.62189949999993,39.62189949999993,39.62189949999993,39.62189949999993,39.62189949999993,39.62189949999993,v,0.5557998000003863,40.20401539999875,41.219463299999916,41.219463299999916,41.219463299999916,41.219463299999916,41.219463299999916,41.219463299999916,45.88,42.234515099999044,45.7458106999984,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h01.32.803,cgeRDMtask,2022.2.4,60.118228508667165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7458106999984,45.7458106999984,v,1.4154684000004636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h01.32.803,cgeRDMtask,2022.2.4,60.118228508667165,
,,,,,1,28.21,0.0,3.89,0,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.19517889999952,47.19517889999952,47.19517889999952,47.19517889999952,47.19517889999952,47.19517889999952,47.19517889999952,47.19517889999952,47.19517889999952,47.19517889999952,1,v,1.7119022000006225,48.924204399998416,49.93970929999887,49.93970929999887,49.93970929999887,49.93970929999887,49.93970929999887,28.21,1,50.93781189999936,53.95021049999923,,,,,,,,,,,,,,,,,999,2023-09-30_15h01.32.803,cgeRDMtask,2022.2.4,60.118228508667165,
,,,,,1,25.2,0.0,5.4,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.95021049999923,53.95021049999923,53.95021049999923,53.95021049999923,53.95021049999923,53.95021049999923,53.95021049999923,53.95021049999923,53.95021049999923,53.95021049999923,1,v,0.40333710000049905,54.38263949999964,55.39810159999979,55.39810159999979,55.39810159999979,55.39810159999979,55.39810159999979,25.2,1,56.39622899999995,59.40873499999907,,,,,,,,,,,,,,,,,999,2023-09-30_15h01.32.803,cgeRDMtask,2022.2.4,60.118228508667165,
,,,,,1,17.73,0.0,3.13,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.40873499999907,59.40873499999907,59.40873499999907,59.40873499999907,59.40873499999907,59.40873499999907,59.40873499999907,59.40873499999907,59.40873499999907,59.40873499999907,1,v,1.976892399999997,61.405377099999896,62.420839699998396,62.420839699998396,62.420839699998396,62.420839699998396,62.420839699998396,17.73,1,63.41907799999899,66.43143059999966,,,,,,,,,,,,,,,,,999,2023-09-30_15h01.32.803,cgeRDMtask,2022.2.4,60.118228508667165,
