riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,breaktxt.started,stopBreak.started,stopBreak.keys,stopBreak.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,8.66639450006187,10.670905100181699,return,0.5313773001544178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h48.41.223,CGTriskyDMtask,2022.2.4,60.094348033300726,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.219443299807608,13.216388800181448,v,0.6259897998534143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h48.41.223,CGTriskyDMtask,2022.2.4,60.094348033300726,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,13.88682630006224,13.88682630006224,13.88682630006224,13.88682630006224,13.88682630006224,13.88682630006224,13.88682630006224,15.863642700016499,15.863642700016499,15.863642700016499,v,0.2673287997022271,16.162176600191742,18.18090010015294,18.18090010015294,18.18090010015294,18.18090010015294,18.18090010015294,18.18090010015294,0,19.190967900212854,20.21622039983049,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h48.41.223,CGTriskyDMtask,2022.2.4,60.094348033300726,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,20.21622039983049,20.21622039983049,20.21622039983049,20.21622039983049,20.21622039983049,20.21622039983049,20.21622039983049,22.20375940017402,22.20375940017402,22.20375940017402,v,1.0384333999827504,23.2677743001841,24.283774700015783,24.283774700015783,24.283774700015783,24.283774700015783,24.283774700015783,24.283774700015783,53.27,25.298283699899912,28.310229000169784,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h48.41.223,CGTriskyDMtask,2022.2.4,60.094348033300726,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.310229000169784,28.310229000169784,v,1.2874600999057293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h48.41.223,CGTriskyDMtask,2022.2.4,60.094348033300726,
,,,,,2,17.73,0.0,3.13,0,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.633490900043398,29.633490900043398,29.633490900043398,29.633490900043398,29.633490900043398,29.633490900043398,29.633490900043398,31.623942899983376,31.623942899983376,31.623942899983376,2,n,0.2661886001005769,31.921258700080216,32.428848000243306,32.428848000243306,32.428848000243306,32.428848000243306,32.428848000243306,32.428848000243306,0.0,1,33.43610419984907,,,,,,,,,,,,,,,,,,001,2023-01-10_14h48.41.223,CGTriskyDMtask,2022.2.4,60.094348033300726,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.43875320022926,34.43875320022926,34.43875320022926,34.43875320022926,34.43875320022926,34.43875320022926,34.43875320022926,36.41590820020065,36.41590820020065,36.41590820020065,2,n,0.5093491999432445,36.947598999831825,,37.46381130022928,37.46381130022928,37.46381130022928,37.46381130022928,37.46381130022928,0.0,1,38.461603600066155,,,,,,,,,,,,,,,,,,001,2023-01-10_14h48.41.223,CGTriskyDMtask,2022.2.4,60.094348033300726,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.46260099997744,39.46260099997744,39.46260099997744,39.46260099997744,39.46260099997744,39.46260099997744,39.46260099997744,41.44181009987369,41.44181009987369,41.44181009987369,2,v,0.2705434998497367,41.73996749985963,42.24458590010181,42.24458590010181,42.24458590010181,42.24458590010181,42.24458590010181,42.24458590010181,1.99,0,43.25473089981824,,,,,,,,,,,,,,,,,,001,2023-01-10_14h48.41.223,CGTriskyDMtask,2022.2.4,60.094348033300726,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd200_muInd001.csv,44.64148759981617,48.64630169980228,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd200_muInd001.csv,200,1,48.64630169980228,3.5400036722421646e-05,50.6598725002259,50.6598725002259,return,0.9096228997223079,,,,,,001,2023-01-10_14h48.41.223,CGTriskyDMtask,2022.2.4,60.094348033300726,
,,,,,2,11.4432723867591,0,8.31689882555511,,0.50775268934198,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.60087200021371,51.60087200021371,51.60087200021371,51.60087200021371,51.60087200021371,51.60087200021371,51.60087200021371,53.59000470023602,53.59000470023602,53.59000470023602,2,n,0.28093859972432256,53.88831639988348,54.38837599987164,54.38837599987164,54.38837599987164,54.38837599987164,54.38837599987164,54.38837599987164,0,1,55.40277459984645,,,,,,,,,,,,,,,,,,001,2023-01-10_14h48.41.223,CGTriskyDMtask,2022.2.4,60.094348033300726,
