riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,isiTextReal.stopped,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,breaktxt.started,stopBreak.started,stopBreak.keys,stopBreak.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,8.596043999772519,10.592450900003314,return,9.063341700006276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_15h01.33.684,CGTriskyDMtask,2022.2.4,60.143538555833395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.67809750000015,21.675470599904656,v,0.6394583997316658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_15h01.33.684,CGTriskyDMtask,2022.2.4,60.143538555833395,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,22.386347699910402,22.386347699910402,22.386347699910402,22.386347699910402,22.386347699910402,22.386347699910402,22.386347699910402,24.338832799810916,24.338832799810916,24.338832799810916,v,0.3906648997217417,24.75357499998063,26.768107699695975,26.768107699695975,26.768107699695975,26.768107699695975,26.768107699695975,26.768107699695975,18.23,27.782707599923015,28.79884439986199,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_15h01.33.684,CGTriskyDMtask,2022.2.4,60.143538555833395,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,28.79884439986199,28.79884439986199,28.79884439986199,28.79884439986199,28.79884439986199,28.79884439986199,28.79884439986199,30.795834199991077,30.795834199991077,30.795834199991077,v,0.5970116998068988,31.41066179983318,32.42649050010368,32.42649050010368,32.42649050010368,32.42649050010368,32.42649050010368,32.42649050010368,53.27,33.44084980012849,36.45301940012723,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_15h01.33.684,CGTriskyDMtask,2022.2.4,60.143538555833395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.45301940012723,36.45301940012723,n,7.850857099983841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_15h01.33.684,CGTriskyDMtask,2022.2.4,60.143538555833395,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.330574200022966,44.330574200022966,44.330574200022966,44.330574200022966,44.330574200022966,44.330574200022966,44.330574200022966,46.322662599850446,46.322662599850446,46.322662599850446,2,n,0.7382465000264347,47.08715629996732,47.60381599981338,47.60381599981338,47.60381599981338,47.60381599981338,47.60381599981338,28.21,1,48.60106559982523,,,,,,,,,,,,,,,,,,,001,2023-01-10_15h01.33.684,CGTriskyDMtask,2022.2.4,60.143538555833395,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.600608699955046,49.600608699955046,49.600608699955046,49.600608699955046,49.600608699955046,49.600608699955046,49.600608699955046,51.580867799930274,51.580867799930274,51.580867799930274,2,n,0.5751726999878883,52.179322300013155,52.68281710008159,52.68281710008159,52.68281710008159,52.68281710008159,52.68281710008159,0.0,1,53.69370499998331,52.68281710008159,,,,,,,,,,,,,,,,,,001,2023-01-10_15h01.33.684,CGTriskyDMtask,2022.2.4,60.143538555833395,
,,,,,2,17.73,0.0,3.13,0,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.693483899813145,54.693483899813145,54.693483899813145,54.693483899813145,54.693483899813145,54.693483899813145,54.693483899813145,56.673530699685216,56.673530699685216,56.673530699685216,2,v,0.35962199978530407,57.05524739995599,57.57168489973992,57.57168489973992,57.57168489973992,57.57168489973992,57.57168489973992,3.13,0,58.56970060011372,,,,,,,,,,,,,,,,,,,001,2023-01-10_15h01.33.684,CGTriskyDMtask,2022.2.4,60.143538555833395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd009_muInd201.csv,59.94328669970855,63.944918599911034,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd009_muInd201.csv,9,201,63.944918599911034,8.379993960261345e-05,65.95847659977153,65.95847659977153,return,5.956927800085396,,,,,,001,2023-01-10_15h01.33.684,CGTriskyDMtask,2022.2.4,60.143538555833395,
,,,,,1,22.4043129424565,0,3.51508897296153,,0.539668419779305,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.96268250001594,71.96268250001594,71.96268250001594,71.96268250001594,71.96268250001594,71.96268250001594,71.96268250001594,73.93087279982865,73.93087279982865,73.93087279982865,1,v,0.5717442999593914,74.52911449968815,75.0335959000513,75.0335959000513,75.0335959000513,75.0335959000513,75.0335959000513,0,1,76.0432257996872,75.0335959000513,,,,,,,,,,,,,,,,,,001,2023-01-10_15h01.33.684,CGTriskyDMtask,2022.2.4,60.143538555833395,
