riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,noRespTxt.stopped,ocGamble.stopped,ocSafe.stopped,outcomeText.stopped,hideGamble.stopped,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,breaktxt.started,stopBreak.started,stopBreak.keys,stopBreak.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,28.312423299998045,30.308396500069648,return,6.02877079998143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.36597739998251,38.36313129996415,n,0.19882849999703467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,38.622270700056106,38.622270700056106,38.622270700056106,38.622270700056106,38.622270700056106,38.622270700056106,38.622270700056106,40.57698120002169,40.57698120002169,40.57698120002169,n,1.049262800021097,41.657163199968636,43.67118559998926,43.67118559998926,43.67118559998926,43.67118559998926,43.67118559998926,43.67118559998926,44.669750900007784,44.669750900007784,44.669750900007784,44.669750900007784,44.669750900007784,9.45,44.669750900007784,45.70032750000246,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,45.70032750000246,45.70032750000246,45.70032750000246,45.70032750000246,45.70032750000246,45.70032750000246,45.70032750000246,47.6829379000701,47.6829379000701,47.6829379000701,n,0.5623534000478685,48.26402580004651,49.288825200055726,49.288825200055726,49.288825200055726,49.288825200055726,49.288825200055726,49.288825200055726,,,,,,35.16,50.294518499984406,53.332051799981855,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
8.27,0,1.15,1,2,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,53.332051799981855,53.332051799981855,53.332051799981855,53.332051799981855,53.332051799981855,53.332051799981855,53.332051799981855,55.30462720000651,55.30462720000651,55.30462720000651,n,0.568426699959673,55.902647500042804,56.928780199959874,56.928780199959874,56.928780199959874,56.928780199959874,56.928780199959874,56.928780199959874,,,,,,8.27,57.93315020005684,59.96576930000447,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
45.88,0,40.41,3,1,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,59.96576930000447,59.96576930000447,59.96576930000447,59.96576930000447,59.96576930000447,59.96576930000447,59.96576930000447,61.944769200054,61.944769200054,61.944769200054,n,0.5579778000246733,62.52605059999041,65.54871180001646,65.54871180001646,65.54871180001646,65.54871180001646,65.54871180001646,65.54871180001646,,,,,,40.41,66.55314380000345,67.56865589995869,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.56865589995869,67.56865589995869,n,1.7824226999655366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,19.86,0.0,0.0,1,,,,,,,0,0,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.40665140002966,69.40665140002966,69.40665140002966,69.40665140002966,69.40665140002966,69.40665140002966,69.40665140002966,71.38036399998236,71.38036399998236,71.38036399998236,2,n,0.6794883999973536,72.07845969998743,72.58897739998065,72.58897739998065,72.58897739998065,72.58897739998065,72.58897739998065,72.58897739998065,19.86,1,73.59261280007195,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,21.32,0.0,7.34,0,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.60885560000315,74.60885560000315,74.60885560000315,74.60885560000315,74.60885560000315,74.60885560000315,74.60885560000315,76.57266569999047,76.57266569999047,76.57266569999047,2,None,,78.58510420005769,,79.09073769999668,79.09073769999668,79.09073769999668,79.09073769999668,79.09073769999668,nan,nan,80.08299170003738,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,12.08,0.0,5.96,0,,,,,,,0,2,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.09839699999429,81.09839699999429,81.09839699999429,81.09839699999429,81.09839699999429,81.09839699999429,81.09839699999429,83.07956490002107,83.07956490002107,83.07956490002107,1,None,,85.09191870002542,,85.59138540003914,85.59138540003914,85.59138540003914,85.59138540003914,85.59138540003914,nan,nan,86.58932659996208,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
