riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,breaktxt.started,stopBreak.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,18.530190400080755,20.526839000056498,return,21.174109900020994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h14.35.533,CGTriskyDMtask,2022.2.4,201.2521911089146,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.73186500009615,43.73280700005125,n,1.4545887999702245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h14.35.533,CGTriskyDMtask,2022.2.4,201.2521911089146,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,45.23905520001426,45.23905520001426,45.23905520001426,45.23905520001426,45.23905520001426,45.23905520001426,45.23905520001426,47.21771980007179,47.21771980007179,47.21771980007179,None,49.21881790005136,51.2362398999976,51.2362398999976,51.2362398999976,51.2362398999976,51.2362398999976,51.2362398999976,nan,52.23690890008584,53.25759809999727,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h14.35.533,CGTriskyDMtask,2022.2.4,201.2521911089146,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,53.25759809999727,53.25759809999727,53.25759809999727,53.25759809999727,53.25759809999727,53.25759809999727,53.25759809999727,55.25511260004714,55.25511260004714,55.25511260004714,None,57.25600100005977,58.273116900003515,58.273116900003515,58.273116900003515,58.273116900003515,58.273116900003515,58.273116900003515,nan,59.27367540006526,62.292784800054505,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h14.35.533,CGTriskyDMtask,2022.2.4,201.2521911089146,
8.27,0,1.15,1,2,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,62.292784800054505,62.292784800054505,62.292784800054505,62.292784800054505,62.292784800054505,62.292784800054505,62.292784800054505,64.29284790006932,64.29284790006932,64.29284790006932,None,66.29369399999268,67.31112299999222,67.31112299999222,67.31112299999222,67.31112299999222,67.31112299999222,67.31112299999222,nan,68.31140980008058,70.33053310005926,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h14.35.533,CGTriskyDMtask,2022.2.4,201.2521911089146,
45.88,0,40.41,3,1,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,70.33053310005926,70.33053310005926,70.33053310005926,70.33053310005926,70.33053310005926,70.33053310005926,70.33053310005926,72.32993990008254,72.32993990008254,72.32993990008254,None,74.33106460003182,77.34915020002518,77.34915020002518,77.34915020002518,77.34915020002518,77.34915020002518,77.34915020002518,nan,78.36626909999177,79.38344790006522,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h14.35.533,CGTriskyDMtask,2022.2.4,201.2521911089146,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.38344790006522,79.38344790006522,v,3.004918900085613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h14.35.533,CGTriskyDMtask,2022.2.4,201.2521911089146,
,,,,,2,25.2,0.0,5.4,0,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.42493490001652,82.42493490001652,82.42493490001652,82.42493490001652,82.42493490001652,82.42493490001652,82.42493490001652,84.41918240010273,84.41918240010273,84.41918240010273,2,n,0.6107256000395864,85.05288700002711,85.56972580007277,85.56972580007277,85.56972580007277,85.56972580007277,85.56972580007277,0.0,1,86.57031890004873,,,,,,,,,,,,,,,,001,2023-04-19_23h14.35.533,CGTriskyDMtask,2022.2.4,201.2521911089146,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5706556000514,87.5706556000514,87.5706556000514,87.5706556000514,87.5706556000514,87.5706556000514,87.5706556000514,89.55509949999396,89.55509949999396,89.55509949999396,2,n,1.1305987000232562,90.7056277000811,91.22256770008244,91.22256770008244,91.22256770008244,91.22256770008244,91.22256770008244,28.21,1,92.2232252000831,,,,,,,,,,,,,,,,001,2023-04-19_23h14.35.533,CGTriskyDMtask,2022.2.4,201.2521911089146,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.22346810007002,93.22346810007002,93.22346810007002,93.22346810007002,93.22346810007002,93.22346810007002,93.22346810007002,95.20776260003913,95.20776260003913,95.20776260003913,1,v,0.9797452999046072,96.20830000005662,96.72527910000645,96.72527910000645,96.72527910000645,96.72527910000645,96.72527910000645,20.03,1,97.72575740003958,,,,,,,,,,,,,,,,001,2023-04-19_23h14.35.533,CGTriskyDMtask,2022.2.4,201.2521911089146,
