riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,37.53650120005477,39.52660480001941,return,80.45847099996172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_13h42.26.047,CGTriskyDMtask,2022.2.4,162.09688527236682,
,,,,,,,,,,,,,,,,,,,,,,120.00281159998849,122.00485170003958,n,3.034281100030057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_13h42.26.047,CGTriskyDMtask,2022.2.4,162.09688527236682,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,125.15860880003311,125.15860880003311,125.15860880003311,125.15860880003311,125.15860880003311,125.15860880003311,125.15860880003311,127.05626620003022,127.05626620003022,127.05626620003022,None,129.07413840002846,131.1083590000635,131.1083590000635,131.1083590000635,131.1083590000635,131.1083590000635,131.1083590000635,nan,132.1087123999605,133.14368690003175,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_13h42.26.047,CGTriskyDMtask,2022.2.4,162.09688527236682,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,133.14368690003175,133.14368690003175,133.14368690003175,133.14368690003175,133.14368690003175,133.14368690003175,133.14368690003175,135.12780520005617,135.12780520005617,135.12780520005617,None,137.12840210006107,138.145121700014,138.145121700014,138.145121700014,138.145121700014,138.145121700014,138.145121700014,nan,139.16260180005338,142.19978420005646,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_13h42.26.047,CGTriskyDMtask,2022.2.4,162.09688527236682,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,,,,,,,,142.19978420005646,142.19978420005646,142.19978420005646,142.19978420005646,142.19978420005646,142.19978420005646,142.19978420005646,144.18165939999744,144.18165939999744,144.18165939999744,None,146.19885429996066,147.218258399982,147.218258399982,147.218258399982,147.218258399982,147.218258399982,147.218258399982,nan,148.23336559999734,150.26907250005752,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_13h42.26.047,CGTriskyDMtask,2022.2.4,162.09688527236682,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,,,,,,,,150.26907250005752,150.26907250005752,150.26907250005752,150.26907250005752,150.26907250005752,150.26907250005752,150.26907250005752,152.25222929997835,152.25222929997835,152.25222929997835,None,154.25410250003915,157.27579169999808,157.27579169999808,157.27579169999808,157.27579169999808,157.27579169999808,157.27579169999808,nan,158.29092569998465,159.30515240004752,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_13h42.26.047,CGTriskyDMtask,2022.2.4,162.09688527236682,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.30515240004752,159.30515240004752,v,2.3667920000152662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_13h42.26.047,CGTriskyDMtask,2022.2.4,162.09688527236682,
,,,,,1,17.73,0.0,3.13,0,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.7230719999643,161.7230719999643,161.7230719999643,161.7230719999643,161.7230719999643,161.7230719999643,161.7230719999643,163.69271990004927,163.69271990004927,163.69271990004927,1,v,0.4541941999923438,164.17504630004987,164.69530170003418,164.69530170003418,164.69530170003418,164.69530170003418,164.69530170003418,0.0,1,165.69259550003335,,,,,,,,,,,,001,2023-04-20_13h42.26.047,CGTriskyDMtask,2022.2.4,162.09688527236682,
,,,,,1,28.21,0.0,3.89,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.70629280002322,166.70629280002322,166.70629280002322,166.70629280002322,166.70629280002322,166.70629280002322,166.70629280002322,168.67760429996997,168.67760429996997,168.67760429996997,1,v,0.8214546000817791,169.52734520006925,170.05312639998738,170.05312639998738,170.05312639998738,170.05312639998738,170.05312639998738,28.21,1,171.0447924999753,,,,,,,,,,,,001,2023-04-20_13h42.26.047,CGTriskyDMtask,2022.2.4,162.09688527236682,
,,,,,2,20.03,0.0,1.99,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0492402999662,172.0492402999662,172.0492402999662,172.0492402999662,172.0492402999662,172.0492402999662,172.0492402999662,174.03187830001116,174.03187830001116,174.03187830001116,2,n,0.541254699928686,174.59663929999806,175.1236735000275,175.1236735000275,175.1236735000275,175.1236735000275,175.1236735000275,20.03,1,176.1141704999609,,,,,,,,,,,,001,2023-04-20_13h42.26.047,CGTriskyDMtask,2022.2.4,162.09688527236682,
