riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,choice1.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,15.398774899993441,17.396751399995992,return,0.0783341000060318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4961190999893,19.493374599987874,v,0.20108490000711754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,19.74279029999161,19.74279029999161,19.74279029999161,19.74279029999161,19.74279029999161,19.74279029999161,19.74279029999161,21.723566399989068,21.723566399989068,21.723566399989068,None,23.73668039999029,25.765145899989875,25.765145899989875,25.765145899989875,25.765145899989875,25.765145899989875,25.765145899989875,nan,26.765723899996374,27.80584169999929,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,27.80584169999929,27.80584169999929,27.80584169999929,27.80584169999929,27.80584169999929,27.80584169999929,27.80584169999929,29.778314600000158,29.778314600000158,29.778314600000158,n,30.876198899990413,31.89143219999096,31.89143219999096,31.89143219999096,31.89143219999096,31.89143219999096,31.89143219999096,35.16,32.90630879999662,35.933981099995435,1.0807754000124987,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
8.27,0,1.15,1,2,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,35.933981099995435,35.933981099995435,35.933981099995435,35.933981099995435,35.933981099995435,35.933981099995435,35.933981099995435,37.915947899993625,37.915947899993625,37.915947899993625,v,38.497988699993584,39.51308579999022,39.51308579999022,39.51308579999022,39.51308579999022,39.51308579999022,39.51308579999022,1.15,40.52799039999081,42.54181239999889,0.5641726000030758,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
45.88,0,40.41,3,1,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,42.54181239999889,42.54181239999889,42.54181239999889,42.54181239999889,42.54181239999889,42.54181239999889,42.54181239999889,44.539248899993254,44.539248899993254,44.539248899993254,n,45.13817669999844,48.156670699987444,48.156670699987444,48.156670699987444,48.156670699987444,48.156670699987444,48.156670699987444,40.41,49.165255599989905,50.18036339999526,0.5688303000060841,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.18036339999526,50.18036339999526,v,1.1899946000048658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
,,,,,1,28.21,0.0,3.89,0,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.43908279998868,51.43908279998868,51.43908279998868,51.43908279998868,51.43908279998868,51.43908279998868,51.43908279998868,53.39244709999184,53.39244709999184,53.39244709999184,1,n,1.9279819000075804,55.33896159999131,55.8483864999871,55.8483864999871,55.8483864999871,55.8483864999871,55.8483864999871,55.8483864999871,3.89,0,56.853431399998954,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
,,,,,1,17.73,0.0,3.13,0,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.85199899999134,57.85199899999134,57.85199899999134,57.85199899999134,57.85199899999134,57.85199899999134,57.85199899999134,59.832592699996894,59.832592699996894,59.832592699996894,1,v,0.4842312000109814,60.3484005999926,60.85322639999504,60.85322639999504,60.85322639999504,60.85322639999504,60.85322639999504,60.85322639999504,0.0,1,61.86234859999968,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
,,,,,1,25.2,0.0,5.4,0,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.88152719999198,62.88152719999198,62.88152719999198,62.88152719999198,62.88152719999198,62.88152719999198,62.88152719999198,64.84186809998937,64.84186809998937,64.84186809998937,1,n,1.0384378000162542,65.90666199999396,66.40592669999751,66.40592669999751,66.40592669999751,66.40592669999751,66.40592669999751,66.40592669999751,5.4,0,67.421039199995,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4196527999884,68.4196527999884,68.4196527999884,68.4196527999884,68.4196527999884,68.4196527999884,68.4196527999884,70.40014379999775,70.40014379999775,70.40014379999775,1,v,0.5148289000208024,70.93235149999964,71.43183229998976,71.43183229998976,71.43183229998976,71.43183229998976,71.43183229998976,71.43183229998976,20.03,1,72.44706429999496,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd008_muInd042.csv,74.01440469999216,78.02167969998845,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd008_muInd042.csv,8,42,78.02167969998845,9.700001101009548e-05,80.01843799999915,80.01843799999915,return,4.255390400008764,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
,,,,,1,18.8712507539662,0,2.84057326246984,,0.504121803236425,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.32959139999002,84.32959139999002,84.32959139999002,84.32959139999002,84.32959139999002,84.32959139999002,84.32959139999002,86.29289829998743,86.29289829998743,86.29289829998743,1,v,0.8131847000186099,87.12462309999682,87.62596259999555,87.62596259999555,87.62596259999555,87.62596259999555,87.62596259999555,87.62596259999555,18.8712507539662,1,88.63895599999523,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
,,,,,1,15.2733222290641,0,2.36581379838753,,0.475179601153579,1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.63810809999995,89.63810809999995,89.63810809999995,89.63810809999995,89.63810809999995,89.63810809999995,89.63810809999995,91.61814690000028,91.61814690000028,91.61814690000028,1,n,0.507750800010399,92.15035999999964,92.652620199995,92.652620199995,92.652620199995,92.652620199995,92.652620199995,92.652620199995,2.36581379838753,0,93.66474439999729,,,,,,,,,,,,,,001,2023-04-24_18h33.35.840,CGTriskyDMtask,2022.2.4,60.069259856022555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6633928999945,94.6633928999945,94.6633928999945,94.6633928999945,94.6633928999945,94.6633928999945,94.6633928999945,96.64389379999193,96.64389379999193,96.64389379999193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
