riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,CircleLeft.started,realCircleRight.started,realLineLeft.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVLeft.started,realNRight.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5]","[1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1]",17.73443419999967,19.727025299995148,return,0.21343170000182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_23h31.27.247,cgeRDMtask,2022.2.1,60.09900710432563,
,,,,,,,,,,,,,,,,,,,,,,,,19.95986399999674,21.956824099994265,v,0.4558007000014186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_23h31.27.247,cgeRDMtask,2022.2.1,60.09900710432563,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,22.455515599998762,22.455515599998762,22.455515599998762,22.455515599998762,22.455515599998762,22.455515599998762,22.455515599998762,22.455515599998762,22.455515599998762,22.455515599998762,v,1.2219449000040186,26.433272399997804,28.447267700001248,28.447267700001248,28.447267700001248,28.447267700001248,28.447267700001248,28.447267700001248,18.23,29.462044399995648,33.24016560000018,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,999,2023-09-26_23h31.27.247,cgeRDMtask,2022.2.1,60.09900710432563,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,,,33.24016560000018,33.24016560000018,33.24016560000018,33.24016560000018,33.24016560000018,33.24016560000018,33.24016560000018,33.24016560000018,33.24016560000018,33.24016560000018,n,0.7220335000019986,37.23363260000042,38.249063799994474,38.249063799994474,38.249063799994474,38.249063799994474,38.249063799994474,38.249063799994474,35.16,39.26389259999996,45.55501379999623,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,999,2023-09-26_23h31.27.247,cgeRDMtask,2022.2.1,60.09900710432563,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,,,,,,,,,,45.55501379999623,45.55501379999623,45.55501379999623,45.55501379999623,45.55501379999623,45.55501379999623,45.55501379999623,45.55501379999623,45.55501379999623,45.55501379999623,v,0.755854700000782,49.548435299999255,50.56388799999695,50.56388799999695,50.56388799999695,50.56388799999695,50.56388799999695,50.56388799999695,1.15,51.57870549999643,56.83793650000007,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,999,2023-09-26_23h31.27.247,cgeRDMtask,2022.2.1,60.09900710432563,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,56.83793650000007,56.83793650000007,56.83793650000007,56.83793650000007,56.83793650000007,56.83793650000007,56.83793650000007,56.83793650000007,56.83793650000007,56.83793650000007,n,0.8549031000002287,60.83140399999684,63.8437946999984,63.8437946999984,63.8437946999984,63.8437946999984,63.8437946999984,63.8437946999984,40.41,64.85865569999442,69.01956739999878,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,999,2023-09-26_23h31.27.247,cgeRDMtask,2022.2.1,60.09900710432563,
21.56,0,11.96,1,1,2,,,,,0,4,4,4,,,,,,,,,,,,,,,69.01956739999878,69.01956739999878,69.01956739999878,69.01956739999878,69.01956739999878,69.01956739999878,69.01956739999878,69.01956739999878,69.01956739999878,69.01956739999878,v,1.0408176000055391,73.01304469999741,74.02845539999544,74.02845539999544,74.02845539999544,74.02845539999544,74.02845539999544,74.02845539999544,11.96,75.04333319999569,79.00414739999542,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,999,2023-09-26_23h31.27.247,cgeRDMtask,2022.2.1,60.09900710432563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.00414739999542,79.00414739999542,v,2.6478888999990886,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_23h31.27.247,cgeRDMtask,2022.2.1,60.09900710432563,
,,,,,2,28.21,0.0,3.89,0,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.68874330000108,81.68874330000108,81.68874330000108,81.68874330000108,81.68874330000108,81.68874330000108,81.68874330000108,81.68874330000108,81.68874330000108,81.68874330000108,2,n,1.0194912000006298,85.677271499997,86.17691499999637,86.17691499999637,86.17691499999637,86.17691499999637,86.17691499999637,86.17691499999637,0.0,1,87.19167229999584,91.68539439999586,999,2023-09-26_23h31.27.247,cgeRDMtask,2022.2.1,60.09900710432563,
,,,,,1,18.77,0.0,8.61,0,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.68539439999586,91.68539439999586,91.68539439999586,91.68539439999586,91.68539439999586,91.68539439999586,91.68539439999586,91.68539439999586,91.68539439999586,91.68539439999586,1,v,0.8384007000058773,95.67893719999847,96.1785041999974,96.1785041999974,96.1785041999974,96.1785041999974,96.1785041999974,96.1785041999974,18.77,1,97.19313909999619,101.87008200000128,999,2023-09-26_23h31.27.247,cgeRDMtask,2022.2.1,60.09900710432563,
