riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,pracNoRespText.stopped,pracSafeOC.stopped,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,cgeRDMendText.started,cgeRDMendResp.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1.5, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1.5]","[1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5]",21.00292250001803,23.00667590001831,return,0.24905349998152815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27289690001635,25.2698914000066,v,0.035025599965592846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,25.348347200022545,25.348347200022545,25.348347200022545,25.348347200022545,25.348347200022545,25.348347200022545,25.348347200022545,25.348347200022545,25.348347200022545,25.348347200022545,v,3.2511781999783125,29.330306100018788,31.344270500005223,31.344270500005223,31.344270500005223,31.344270500005223,31.344270500005223,31.344270500005223,32.359375400003046,32.359375400003046,0,36.353292600018904,38.11732590000611,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,38.11732590000611,38.11732590000611,38.11732590000611,38.11732590000611,38.11732590000611,38.11732590000611,38.11732590000611,38.11732590000611,38.11732590000611,38.11732590000611,v,1.9048034999868833,42.111092700011795,43.126479800004745,43.126479800004745,43.126479800004745,43.126479800004745,43.126479800004745,43.126479800004745,44.14168680002331,44.14168680002331,0,48.135345500020776,53.24468250002246,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
8.27,0,1.15,1,2,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,53.24468250002246,53.24468250002246,53.24468250002246,53.24468250002246,53.24468250002246,53.24468250002246,53.24468250002246,53.24468250002246,53.24468250002246,53.24468250002246,None,,57.25500180001836,58.270022100012284,58.270022100012284,58.270022100012284,58.270022100012284,58.270022100012284,58.270022100012284,59.28528609999921,59.28528609999921,nan,63.27923549999832,67.38996650002082,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
45.88,0,40.41,3,1,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,67.38996650002082,67.38996650002082,67.38996650002082,67.38996650002082,67.38996650002082,67.38996650002082,67.38996650002082,67.38996650002082,67.38996650002082,67.38996650002082,v,1.3588750999770127,71.3836994000012,74.39605989999836,74.39605989999836,74.39605989999836,74.39605989999836,74.39605989999836,74.39605989999836,75.41107390000252,75.41107390000252,0,79.40491070001735,83.04946280000149,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.04946280000149,83.04946280000149,n,1.7152369999676012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.79939490000834,84.79939490000834,84.79939490000834,84.79939490000834,84.79939490000834,84.79939490000834,84.79939490000834,84.79939490000834,84.79939490000834,84.79939490000834,2,n,3.277302199974656,88.79086410001037,89.29005080001662,89.29005080001662,89.29005080001662,89.29005080001662,89.29005080001662,89.29005080001662,0.0,1,90.30515330002527,92.53536990002613,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
,,,,,1,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.53536990002613,92.53536990002613,92.53536990002613,92.53536990002613,92.53536990002613,92.53536990002613,92.53536990002613,92.53536990002613,92.53536990002613,92.53536990002613,1,v,3.3931807999906596,96.52927210001508,97.02855890002684,97.02855890002684,97.02855890002684,97.02855890002684,97.02855890002684,97.02855890002684,0.0,1,98.043465499999,99.91607680000016,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,99.91607680000016,103.91795930001535,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,94,201,,,,,,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.91795930001535,105.93157960000099,105.93157960000099,v,5.131652599957306,,,,,,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
,,,,,2,2.65255054014269,0,3.31937305370811,,3.67722844786178e-22,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.093442900019,111.093442900019,111.093442900019,111.093442900019,111.093442900019,111.093442900019,111.093442900019,111.093442900019,111.093442900019,111.093442900019,2,n,2.7780603999854065,115.08478800000739,,,,,,,0,1,116.59918840002501,118.84046669999952,,,,,,,,,,,,115.60038310001255,115.60038310001255,115.60038310001255,115.60038310001255,115.60038310001255,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
,,,,,2,15.5891054884414,0,8.68703045739094,,0.514884868079611,1,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.84046669999952,118.84046669999952,118.84046669999952,118.84046669999952,118.84046669999952,118.84046669999952,118.84046669999952,118.84046669999952,118.84046669999952,118.84046669999952,2,None,,122.82528489999822,,,,,,,nan,nan,124.33722100002342,127.06688070000382,,,,,,,,,,,,123.34693040000275,123.34693040000275,123.34693040000275,123.34693040000275,123.34693040000275,,,999,2023-09-29_02h21.56.592,cgeRDMtask,2022.2.1,60.081494547733605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.06688070000382,127.06688070000382,,,,,,
