riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,pracNoRespText.stopped,pracSafeOC.stopped,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,cgeRDMendText.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1]","[1.5, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1]",16.699384800012922,18.692333399987547,return,1.0832847999990918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.807253800012404,21.804223299986916,v,2.3130379999929573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,24.149847499997122,24.149847499997122,24.149847499997122,24.149847499997122,24.149847499997122,24.149847499997122,24.149847499997122,24.149847499997122,24.149847499997122,24.149847499997122,v,2.5957351999823004,28.127997300005518,30.14198970000143,30.14198970000143,30.14198970000143,30.14198970000143,30.14198970000143,30.14198970000143,31.157094800000777,31.157094800000777,18.23,35.15076729998691,37.56405230000382,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,37.56405230000382,37.56405230000382,37.56405230000382,37.56405230000382,37.56405230000382,37.56405230000382,37.56405230000382,37.56405230000382,37.56405230000382,37.56405230000382,v,1.6232875999994576,41.5577040000062,42.57318909998867,42.57318909998867,42.57318909998867,42.57318909998867,42.57318909998867,42.57318909998867,43.58833810000215,43.58833810000215,0,47.58201439998811,52.97414609999396,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
8.27,0,1.15,1,2,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,52.97414609999396,52.97414609999396,52.97414609999396,52.97414609999396,52.97414609999396,52.97414609999396,52.97414609999396,52.97414609999396,52.97414609999396,52.97414609999396,n,3.624591700005112,56.96777399998973,57.98336969999946,57.98336969999946,57.98336969999946,57.98336969999946,57.98336969999946,57.98336969999946,58.99831450000056,58.99831450000056,0,62.99217819998739,65.37203259998932,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
45.88,0,40.41,3,1,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,65.37203259998932,65.37203259998932,65.37203259998932,65.37203259998932,65.37203259998932,65.37203259998932,65.37203259998932,65.37203259998932,65.37203259998932,65.37203259998932,v,1.2513333999959286,69.36569629999576,72.37827720001223,72.37827720001223,72.37827720001223,72.37827720001223,72.37827720001223,72.37827720001223,73.39345440000761,73.39345440000761,0,77.38711089998833,81.14814909998677,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.14814909998677,81.14814909998677,v,11.651863800012507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.83389629999874,92.83389629999874,92.83389629999874,92.83389629999874,92.83389629999874,92.83389629999874,92.83389629999874,92.83389629999874,92.83389629999874,92.83389629999874,1,v,2.8597287999873515,96.8243814999878,97.32392739999341,97.32392739999341,97.32392739999341,97.32392739999341,97.32392739999341,97.32392739999341,0.0,1,98.33874269999797,100.4862768999883,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4862768999883,100.4862768999883,100.4862768999883,100.4862768999883,100.4862768999883,100.4862768999883,100.4862768999883,100.4862768999883,100.4862768999883,100.4862768999883,2,n,3.113888899999438,104.47973670001375,,104.99566990000312,104.99566990000312,104.99566990000312,104.99566990000312,104.99566990000312,28.21,1,105.99397909999243,108.65529759999481,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,108.65529759999481,112.66759029999957,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,94,201,,,,,,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.66759029999957,114.68090189999202,114.68090189999202,v,13.236577000003308,,,,,,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
,,,,,1,2.65255054014269,0,3.31937305370811,,3.67722844786178e-22,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.99622209998779,127.99622209998779,127.99622209998779,127.99622209998779,127.99622209998779,127.99622209998779,127.99622209998779,127.99622209998779,127.99622209998779,127.99622209998779,1,v,2.270552800007863,131.93851070001256,132.44730659999186,,,,,,2.65255054014269,1,133.45308760000626,136.7098224000074,,,,,,,,,,,,132.44730659999186,132.44730659999186,132.44730659999186,132.44730659999186,132.44730659999186,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
,,,,,2,15.5891054884414,0,8.68703045739094,,0.514884868079611,1,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.7098224000074,136.7098224000074,136.7098224000074,136.7098224000074,136.7098224000074,136.7098224000074,136.7098224000074,136.7098224000074,136.7098224000074,136.7098224000074,2,n,2.697710999986157,140.6920444999996,141.1921924999915,,,,,,15.5891054884414,1,142.20645719999447,144.51973759999964,,,,,,,,,,,,141.1921924999915,141.1921924999915,141.1921924999915,141.1921924999915,141.1921924999915,,,,,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.51973759999964,144.51973759999964,return,2.1386170999903698,,999,2023-09-29_02h27.08.055,cgeRDMtask,2022.2.1,60.087018017561455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.68280650000088,,,,,,
