riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,CGErdmStartText.started,CGErdmStartResp.started,initITIstatic,initITIdynamic,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,cgeRDMendText.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.44470310001634,26.438772499968763,"[3, 3, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5]","[3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3, 3]",return,1.737071800045669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_17h11.11.867,cgeRDMtask,2022.2.1,60.128386127673984,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.202627499995288,30.19971269997768,v,0.584209099994041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_17h11.11.867,cgeRDMtask,2022.2.1,60.128386127673984,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,30.82682100002421,30.82682100002421,30.82682100002421,30.82682100002421,30.82682100002421,30.82682100002421,30.82682100002421,30.82682100002421,30.82682100002421,30.82682100002421,v,1.1486671000020579,34.80922499997541,35.824550300021656,35.824550300021656,35.824550300021656,35.824550300021656,35.824550300021656,35.824550300021656,0,36.83950070000719,39.85184219997609,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_17h11.11.867,cgeRDMtask,2022.2.1,60.128386127673984,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,39.85184219997609,39.85184219997609,39.85184219997609,39.85184219997609,39.85184219997609,39.85184219997609,39.85184219997609,39.85184219997609,39.85184219997609,39.85184219997609,n,0.883363000000827,43.845558399974834,44.86083570000483,44.86083570000483,44.86083570000483,44.86083570000483,44.86083570000483,44.86083570000483,35.16,45.87590049998835,49.38727680000011,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_17h11.11.867,cgeRDMtask,2022.2.1,60.128386127673984,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.38727680000011,49.38727680000011,v,1.0366568000172265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_17h11.11.867,cgeRDMtask,2022.2.1,60.128386127673984,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.45601979998173,50.45601979998173,50.45601979998173,50.45601979998173,50.45601979998173,50.45601979998173,50.45601979998173,50.45601979998173,50.45601979998173,50.45601979998173,1,v,1.399734399979934,54.44631540001137,55.461856100009754,55.461856100009754,55.461856100009754,55.461856100009754,55.461856100009754,20.03,1,56.459939300024416,59.4724000999704,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_17h11.11.867,cgeRDMtask,2022.2.1,60.128386127673984,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4724000999704,59.4724000999704,59.4724000999704,59.4724000999704,59.4724000999704,59.4724000999704,59.4724000999704,59.4724000999704,59.4724000999704,59.4724000999704,2,n,1.5355370999895968,63.46603409998352,64.48137340001995,64.48137340001995,64.48137340001995,64.48137340001995,64.48137340001995,0.0,1,65.47969449998345,68.75807169999462,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_17h11.11.867,cgeRDMtask,2022.2.1,60.128386127673984,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,68.75807169999462,72.76869810000062,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,94,201,,,,,,,,,,,,,,,,999,2023-09-29_17h11.11.867,cgeRDMtask,2022.2.1,60.128386127673984,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.76869810000062,74.78246209997451,74.78246209997451,v,1.1770730999996886,,,,,,,,,,,999,2023-09-29_17h11.11.867,cgeRDMtask,2022.2.1,60.128386127673984,
,,,,,1,2.65255054014269,0,3.31937305370811,,3.67722844786178e-22,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.99161159998039,75.99161159998039,75.99161159998039,75.99161159998039,75.99161159998039,75.99161159998039,75.99161159998039,75.99161159998039,75.99161159998039,75.99161159998039,1,v,2.024304300022777,79.97440020000795,,,,,,2.65255054014269,1,81.98807630001102,85.49982139997883,,,,,,,,,,,,80.98988160002045,80.98988160002045,80.98988160002045,80.98988160002045,80.98988160002045,,,,,,999,2023-09-29_17h11.11.867,cgeRDMtask,2022.2.1,60.128386127673984,
