riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,CGErdmStartText.started,CGErdmStartResp.started,initITIstatic,initITIdynamic,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,loc,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVleft.started,realNright.started,realChoiceResp.started,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,dynamicNoRespText.started,dynamicRiskOC.started,dynamicSafeOC.started,dynamicOCtext.started,dynamicHideRisk.started,cgeRDMendText.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.49956490000477,20.503282099962234,"[3.5, 3.5, 3, 3, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3]","[3, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3]",return,18.80632760003209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h19.03.571,cgeRDMtask,2022.2.4,60.076982630252466,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.34129929996561,41.338287199963816,v,0.0329259000136517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h19.03.571,cgeRDMtask,2022.2.4,60.076982630252466,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,41.399947299971245,41.399947299971245,41.399947299971245,41.399947299971245,41.399947299971245,41.399947299971245,41.399947299971245,41.399947299971245,41.399947299971245,41.399947299971245,1,v,0.7928385999985039,42.220264700008556,43.23559820000082,43.23559820000082,43.23559820000082,43.23559820000082,43.23559820000082,43.23559820000082,0,44.25047550001182,47.26293570001144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h19.03.571,cgeRDMtask,2022.2.4,60.076982630252466,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,47.26293570001144,47.26293570001144,47.26293570001144,47.26293570001144,47.26293570001144,47.26293570001144,47.26293570001144,47.26293570001144,47.26293570001144,47.26293570001144,1,n,0.8515047000255436,48.14463229995454,49.15982699999586,49.15982699999586,49.15982699999586,49.15982699999586,49.15982699999586,49.15982699999586,35.16,50.17494160000933,53.68631119997008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h19.03.571,cgeRDMtask,2022.2.4,60.076982630252466,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.68631119997008,53.68631119997008,v,1.7134107000310905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h19.03.571,cgeRDMtask,2022.2.4,60.076982630252466,
,,,,,1,28.21,0.0,3.89,0,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,55.41997689998243,55.41997689998243,55.41997689998243,55.41997689998243,55.41997689998243,55.41997689998243,55.41997689998243,55.41997689998243,55.41997689998243,55.41997689998243,v,1.3736987000447698,56.81543309998233,57.830217199982144,57.830217199982144,57.830217199982144,57.830217199982144,57.830217199982144,0.0,1,58.82860599999549,62.34019969997462,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h19.03.571,cgeRDMtask,2022.2.4,60.076982630252466,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,62.34019969997462,62.34019969997462,62.34019969997462,62.34019969997462,62.34019969997462,62.34019969997462,62.34019969997462,62.34019969997462,62.34019969997462,62.34019969997462,n,0.5117394999833778,62.87260130001232,63.887597399996594,63.887597399996594,63.887597399996594,63.887597399996594,63.887597399996594,1.99,0,64.88598769996315,68.66521569999168,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_03h19.03.571,cgeRDMtask,2022.2.4,60.076982630252466,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd005_muInd001.csv,68.66521569999168,72.67437550000614,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd005_muInd001.csv,5,1,,,,,,,,,,,,,,,,999,2023-09-30_03h19.03.571,cgeRDMtask,2022.2.4,60.076982630252466,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.67437550000614,74.68799020000733,74.68799020000733,v,6.948301600001287,,,,,,,,,,,999,2023-09-30_03h19.03.571,cgeRDMtask,2022.2.4,60.076982630252466,
,,,,,2,3.37147945440374,0,3.7123771791812,,0.026283600939115,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,81.67988989996957,81.67988989996957,81.67988989996957,81.67988989996957,81.67988989996957,81.67988989996957,81.67988989996957,81.67988989996957,81.67988989996957,81.67988989996957,n,1.698122100031469,83.40807730000233,,,,,,3.37147945440374,1,85.42175899998983,88.4342120999936,,,,,,,,,,,,84.4235204999568,84.4235204999568,84.4235204999568,84.4235204999568,84.4235204999568,,,,,,999,2023-09-30_03h19.03.571,cgeRDMtask,2022.2.4,60.076982630252466,
