riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,cgeRDMstartTxt.started,cgeRDMstartResp.started,initITIstatic,initITIdynamic,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,loc,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFitTxt.started,setupBestFitTxt.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,loadDynaChoicesTxt.started,dynaStartTxt.started,dynaStartResp.started,dynaStartResp.keys,dynaStartResp.rt,dynaNoRespTxt.started,dynaRiskOC.started,dynaSafeOC.started,dynaOCtxt.started,dynaHideRisk.started,cgeRDMendTxt.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.89148719998775,23.88483479997376,"[3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5]","[3.5, 3, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3, 3, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5]",return,0.03365430003032088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h01.19.200,cgeRDMtask,2022.2.4,60.09247029083386,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.95125669997651,25.94828830001643,v,0.27472169999964535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h01.19.200,cgeRDMtask,2022.2.4,60.09247029083386,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,26.26123559998814,26.26123559998814,26.26123559998814,26.26123559998814,26.26123559998814,26.26123559998814,26.26123559998814,26.26123559998814,26.26123559998814,26.26123559998814,1,v,1.3984782000188716,27.678959899989422,28.694337100023404,28.694337100023404,28.694337100023404,28.694337100023404,28.694337100023404,28.694337100023404,0,29.709197200019844,32.72145140002249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h01.19.200,cgeRDMtask,2022.2.4,60.09247029083386,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,32.72145140002249,32.72145140002249,32.72145140002249,32.72145140002249,32.72145140002249,32.72145140002249,32.72145140002249,32.72145140002249,32.72145140002249,32.72145140002249,1,n,0.5033610000391491,33.25385689997347,34.26868169999216,34.26868169999216,34.26868169999216,34.26868169999216,34.26868169999216,34.26868169999216,35.16,35.28420230001211,38.79561470000772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h01.19.200,cgeRDMtask,2022.2.4,60.09247029083386,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.79561470000772,38.79561470000772,v,1.1634070000145584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h01.19.200,cgeRDMtask,2022.2.4,60.09247029083386,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,39.979398700001184,39.979398700001184,39.979398700001184,39.979398700001184,39.979398700001184,39.979398700001184,39.979398700001184,39.979398700001184,39.979398700001184,39.979398700001184,v,1.5688056999933906,41.57479230000172,42.59021870000288,42.59021870000288,42.59021870000288,42.59021870000288,42.59021870000288,0.0,1,43.58825299999444,47.09990279999329,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h01.19.200,cgeRDMtask,2022.2.4,60.09247029083386,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,47.09990279999329,47.09990279999329,47.09990279999329,47.09990279999329,47.09990279999329,47.09990279999329,47.09990279999329,47.09990279999329,47.09990279999329,47.09990279999329,n,1.480217000003904,48.59747440001229,49.61266969999997,49.61266969999997,49.61266969999997,49.61266969999997,49.61266969999997,28.21,1,50.61102130002109,53.88536050001858,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_04h01.19.200,cgeRDMtask,2022.2.4,60.09247029083386,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,53.88536050001858,57.900017599982675,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd094_muInd201.csv,94,201,,,,,,,,,,,,,,,,999,2023-09-30_04h01.19.200,cgeRDMtask,2022.2.4,60.09247029083386,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.900017599982675,59.913824299990665,59.913824299990665,v,1.037277500028722,,,,,,,,,,,999,2023-09-30_04h01.19.200,cgeRDMtask,2022.2.4,60.09247029083386,
,,,,,2,15.5891054884414,0,8.68703045739094,,0.514884868079611,1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,60.99712359998375,60.99712359998375,60.99712359998375,60.99712359998375,60.99712359998375,60.99712359998375,60.99712359998375,60.99712359998375,60.99712359998375,60.99712359998375,v,2.1864095000200905,63.20877249998739,,,,,,8.68703045739094,0,65.22262940002838,68.73406500002602,,,,,,,,,,,,64.22404719999759,64.22404719999759,64.22404719999759,64.22404719999759,64.22404719999759,,,,,,999,2023-09-30_04h01.19.200,cgeRDMtask,2022.2.4,60.09247029083386,
