riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,loc,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFitTxt.started,setupBestFitTxt.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,loadDynaChoicesTxt.started,dynaStartTxt.started,dynaStartResp.started,dynaStartResp.keys,dynaStartResp.rt,dynaNoRespTxt.started,dynaRiskOC.started,dynaSafeOC.started,dynaOCtxt.started,dynaHideRisk.started,cgeRDMendTxt.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3.5, 3, 3, 3, 3, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3]","[3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3]",18.53192560000025,20.523827699999856,return,0.41842540000016015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h51.35.479,cgeRDMtask,2022.2.4,61.08045211752186,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.97295800000029,22.969977499999914,v,0.19629879999956756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h51.35.479,cgeRDMtask,2022.2.4,61.08045211752186,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,23.19752410000001,23.19752410000001,23.19752410000001,23.19752410000001,23.19752410000001,23.19752410000001,23.19752410000001,23.19752410000001,23.19752410000001,23.19752410000001,1,n,1.3929272999994282,24.617418499999985,25.632716699999946,25.632716699999946,25.632716699999946,25.632716699999946,25.632716699999946,25.632716699999946,9.45,26.647505699999783,29.660030000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h51.35.479,cgeRDMtask,2022.2.4,61.08045211752186,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,29.660030000000006,29.660030000000006,29.660030000000006,29.660030000000006,29.660030000000006,29.660030000000006,29.660030000000006,29.660030000000006,29.660030000000006,29.660030000000006,1,v,0.7222894000005908,30.408637000000454,31.424052100000154,31.424052100000154,31.424052100000154,31.424052100000154,31.424052100000154,31.424052100000154,0,32.43895059999977,35.953910400000495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h51.35.479,cgeRDMtask,2022.2.4,61.08045211752186,
8.27,0,1.15,1,3,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,35.953910400000495,35.953910400000495,35.953910400000495,35.953910400000495,35.953910400000495,35.953910400000495,35.953910400000495,35.953910400000495,35.953910400000495,35.953910400000495,2,None,,39.960811199999625,40.976162699999804,40.976162699999804,40.976162699999804,40.976162699999804,40.976162699999804,40.976162699999804,nan,41.99117959999967,45.00364999999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h51.35.479,cgeRDMtask,2022.2.4,61.08045211752186,
45.88,0,40.41,1,3.5,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,45.00364999999965,45.00364999999965,45.00364999999965,45.00364999999965,45.00364999999965,45.00364999999965,45.00364999999965,45.00364999999965,45.00364999999965,45.00364999999965,1,None,,49.013910300000134,50.02908279999974,50.02908279999974,50.02908279999974,50.02908279999974,50.02908279999974,50.02908279999974,nan,51.04421209999964,54.5555959000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h51.35.479,cgeRDMtask,2022.2.4,61.08045211752186,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5555959000003,54.5555959000003,v,0.8101641000002928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h51.35.479,cgeRDMtask,2022.2.4,61.08045211752186,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,55.389165599999615,55.389165599999615,55.389165599999615,55.389165599999615,55.389165599999615,55.389165599999615,55.389165599999615,55.389165599999615,55.389165599999615,55.389165599999615,n,1.0407321000002412,56.45272639999985,57.46813120000024,57.46813120000024,57.46813120000024,57.46813120000024,57.46813120000024,0.0,1,58.4663486999998,61.97804950000045,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h51.35.479,cgeRDMtask,2022.2.4,61.08045211752186,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,61.97804950000045,61.97804950000045,61.97804950000045,61.97804950000045,61.97804950000045,61.97804950000045,61.97804950000045,61.97804950000045,61.97804950000045,61.97804950000045,v,1.0362918999999238,63.04282890000013,64.05810910000037,64.05810910000037,64.05810910000037,64.05810910000037,64.05810910000037,1.99,0,65.05642799999987,68.06894160000047,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h51.35.479,cgeRDMtask,2022.2.4,61.08045211752186,
,,,,,1,17.73,0.0,3.13,0,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,68.06894160000047,68.06894160000047,68.06894160000047,68.06894160000047,68.06894160000047,68.06894160000047,68.06894160000047,68.06894160000047,68.06894160000047,68.06894160000047,n,2.6173306000000593,70.71456120000039,71.72979570000007,71.72979570000007,71.72979570000007,71.72979570000007,71.72979570000007,3.13,0,72.73084170000038,75.74062419999973,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_13h51.35.479,cgeRDMtask,2022.2.4,61.08045211752186,
