riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3, 3, 3.5]","[3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3]",14.168142800001078,16.16743900000074,return,0.0985380999991321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h03.41.236,cgeRDMtask,2022.2.4,60.09723733034257,
,,,,,,,,,,,,,,,,,,,,,,,,16.283894400001373,18.280795800001215,v,0.4565296999971906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h03.41.236,cgeRDMtask,2022.2.4,60.09723733034257,
18.23,0,9.45,1,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,18.774222400001236,18.774222400001236,18.774222400001236,18.774222400001236,18.774222400001236,18.774222400001236,18.774222400001236,18.774222400001236,18.774222400001236,18.774222400001236,n,1.1628409999993892,19.9615485000013,20.976829200000793,20.976829200000793,20.976829200000793,20.976829200000793,20.976829200000793,20.976829200000793,9.45,21.99183870000161,25.004205500001262,,,,,,,,,,,,,,,1,,,,,,,,,,,,,999,2023-09-30_15h03.41.236,cgeRDMtask,2022.2.4,60.09723733034257,
53.27,0,35.16,1,3.5,1,,,,,0,1,1,1,,,,,,,,,,,,,,,25.004205500001262,25.004205500001262,25.004205500001262,25.004205500001262,25.004205500001262,25.004205500001262,25.004205500001262,25.004205500001262,25.004205500001262,25.004205500001262,n,0.8371035999989545,25.869302099999913,26.88461080000161,26.88461080000161,26.88461080000161,26.88461080000161,26.88461080000161,26.88461080000161,35.16,27.899606800001493,31.41126919999988,,,,,,,,,,,,,,,1,,,,,,,,,,,,,999,2023-09-30_15h03.41.236,cgeRDMtask,2022.2.4,60.09723733034257,
8.27,0,1.15,1,3,2,,,,,0,2,2,2,,,,,,,,,,,,,,,31.41126919999988,31.41126919999988,31.41126919999988,31.41126919999988,31.41126919999988,31.41126919999988,31.41126919999988,31.41126919999988,31.41126919999988,31.41126919999988,n,1.11869619999743,32.559230700000626,33.57457109999996,33.57457109999996,33.57457109999996,33.57457109999996,33.57457109999996,33.57457109999996,0,34.58956670000043,37.60196240000005,,,,,,,,,,,,,,,2,,,,,,,,,,,,,999,2023-09-30_15h03.41.236,cgeRDMtask,2022.2.4,60.09723733034257,
45.88,0,40.41,1,3.5,1,,,,,0,3,3,3,,,,,,,,,,,,,,,37.60196240000005,37.60196240000005,37.60196240000005,37.60196240000005,37.60196240000005,37.60196240000005,37.60196240000005,37.60196240000005,37.60196240000005,37.60196240000005,n,0.6551592999985587,38.28408900000068,39.299187800001164,39.299187800001164,39.299187800001164,39.299187800001164,39.299187800001164,39.299187800001164,40.41,40.31422670000029,43.82562490000055,,,,,,,,,,,,,,,1,,,,,,,,,,,,,999,2023-09-30_15h03.41.236,cgeRDMtask,2022.2.4,60.09723733034257,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.82562490000055,43.82562490000055,v,0.7835004999978992,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h03.41.236,cgeRDMtask,2022.2.4,60.09723733034257,
,,,,,1,20.03,0.0,1.99,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.64256209999985,44.64256209999985,44.64256209999985,44.64256209999985,44.64256209999985,44.64256209999985,44.64256209999985,44.64256209999985,44.64256209999985,44.64256209999985,1,n,0.7584554999975808,45.42319029999999,46.43850689999999,46.43850689999999,46.43850689999999,46.43850689999999,46.43850689999999,1.99,0,47.4368355000006,50.44917660000101,999,2023-09-30_15h03.41.236,cgeRDMtask,2022.2.4,60.09723733034257,
,,,,,1,25.2,0.0,5.4,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.44917660000101,50.44917660000101,50.44917660000101,50.44917660000101,50.44917660000101,50.44917660000101,50.44917660000101,50.44917660000101,50.44917660000101,50.44917660000101,1,n,0.73691129999861,51.21442670000033,52.22969080000075,52.22969080000075,52.22969080000075,52.22969080000075,52.22969080000075,5.4,0,53.228045900001234,56.73968310000055,999,2023-09-30_15h03.41.236,cgeRDMtask,2022.2.4,60.09723733034257,
,,,,,1,17.73,0.0,3.13,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.73968310000055,56.73968310000055,56.73968310000055,56.73968310000055,56.73968310000055,56.73968310000055,56.73968310000055,56.73968310000055,56.73968310000055,56.73968310000055,1,n,0.7975559999995312,57.55489080000007,58.57016140000087,58.57016140000087,58.57016140000087,58.57016140000087,58.57016140000087,3.13,0,59.568523700001606,63.08013920000121,999,2023-09-30_15h03.41.236,cgeRDMtask,2022.2.4,60.09723733034257,
