riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFitTxt.started,setupBestFitTxt.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,loadDynaChoicesTxt.started,dynaStartTxt.started,dynaStartResp.started,dynaStartResp.keys,dynaStartResp.rt,dynaNoRespTxt.started,dynaRiskOC.started,dynaSafeOC.started,dynaOCtxt.started,dynaHideRisk.started,cgeRDMendTxt.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5]","[3, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3]",14.007163799999034,16.01424379999844,return,0.25630630000159726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h06.54.611,cgeRDMtask,2022.2.4,60.09239807155528,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.29702719999841,18.29395409999961,v,0.5846463000016229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h06.54.611,cgeRDMtask,2022.2.4,60.09239807155528,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,18.920176299998275,18.920176299998275,18.920176299998275,18.920176299998275,18.920176299998275,18.920176299998275,18.920176299998275,18.920176299998275,18.920176299998275,18.920176299998275,v,1.206033500000558,20.157733499998358,21.173140999999305,21.173140999999305,21.173140999999305,21.173140999999305,21.173140999999305,21.173140999999305,18.23,22.188042399999176,25.20046799999909,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h06.54.611,cgeRDMtask,2022.2.4,60.09239807155528,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,25.20046799999909,25.20046799999909,25.20046799999909,25.20046799999909,25.20046799999909,25.20046799999909,25.20046799999909,25.20046799999909,25.20046799999909,25.20046799999909,v,0.9182531000024028,26.148713699998552,27.16409389999899,27.16409389999899,27.16409389999899,27.16409389999899,27.16409389999899,27.16409389999899,53.27,28.179130199998326,31.690610199999355,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h06.54.611,cgeRDMtask,2022.2.4,60.09239807155528,
8.27,0,1.15,1,3,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,31.690610199999355,31.690610199999355,31.690610199999355,31.690610199999355,31.690610199999355,31.690610199999355,31.690610199999355,31.690610199999355,31.690610199999355,31.690610199999355,n,1.139388500001587,32.85523219999959,33.87055449999934,33.87055449999934,33.87055449999934,33.87055449999934,33.87055449999934,33.87055449999934,8.27,34.885520999998334,37.89793599999939,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h06.54.611,cgeRDMtask,2022.2.4,60.09239807155528,
45.88,0,40.41,1,3.5,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,37.89793599999939,37.89793599999939,37.89793599999939,37.89793599999939,37.89793599999939,37.89793599999939,37.89793599999939,37.89793599999939,37.89793599999939,37.89793599999939,n,0.7236613000004581,38.646555699999226,39.661853799998426,39.661853799998426,39.661853799998426,39.661853799998426,39.661853799998426,39.661853799998426,40.41,40.67681079999966,44.18840009999985,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h06.54.611,cgeRDMtask,2022.2.4,60.09239807155528,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.18840009999985,44.18840009999985,v,0.8892583000015293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h06.54.611,cgeRDMtask,2022.2.4,60.09239807155528,
,,,,,2,17.73,0.0,3.13,0,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.105540599999586,45.105540599999586,45.105540599999586,45.105540599999586,45.105540599999586,45.105540599999586,45.105540599999586,45.105540599999586,45.105540599999586,45.105540599999586,2,n,1.7961660000019037,46.934037799999714,47.949411299998246,47.949411299998246,47.949411299998246,47.949411299998246,47.949411299998246,0.0,1,48.947732099999484,52.459512299999915,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h06.54.611,cgeRDMtask,2022.2.4,60.09239807155528,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.459512299999915,52.459512299999915,52.459512299999915,52.459512299999915,52.459512299999915,52.459512299999915,52.459512299999915,52.459512299999915,52.459512299999915,52.459512299999915,2,v,0.7709177000015188,53.2579139999998,54.27311129999907,54.27311129999907,54.27311129999907,54.27311129999907,54.27311129999907,3.89,0,55.271470699999554,58.783247099998334,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h06.54.611,cgeRDMtask,2022.2.4,60.09239807155528,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.783247099998334,58.783247099998334,58.783247099998334,58.783247099998334,58.783247099998334,58.783247099998334,58.783247099998334,58.783247099998334,58.783247099998334,58.783247099998334,1,n,1.7116370000021561,60.513577099998656,61.528771099998266,61.528771099998266,61.528771099998266,61.528771099998266,61.528771099998266,1.99,0,62.52711959999942,65.53957809999883,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h06.54.611,cgeRDMtask,2022.2.4,60.09239807155528,
