riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,choiceP,easy0difficult1,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,isiRealFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFitTxt.started,setupBestFitTxt.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,loadDynaChoicesTxt.started,dynaStartTxt.started,dynaStartResp.started,dynaStartResp.keys,dynaStartResp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5]","[3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3]",132.17702119999922,134.17008239999996,return,0.17422420000002603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.36968539999907,136.36667619999935,v,0.29756950000046345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
18.23,0,9.45,1,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,136.6935816999994,136.6935816999994,136.6935816999994,136.6935816999994,136.6935816999994,136.6935816999994,136.6935816999994,136.6935816999994,136.6935816999994,136.6935816999994,v,1.122708100001546,137.84766799999852,138.86308049999934,138.86308049999934,138.86308049999934,138.86308049999934,138.86308049999934,138.86308049999934,0,139.8781719999988,142.8903440999984,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
53.27,0,35.16,1,3.5,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,142.8903440999984,142.8903440999984,142.8903440999984,142.8903440999984,142.8903440999984,142.8903440999984,142.8903440999984,142.8903440999984,142.8903440999984,142.8903440999984,v,0.8617972000010923,143.77205999999933,144.78747320000002,144.78747320000002,144.78747320000002,144.78747320000002,144.78747320000002,144.78747320000002,0,145.80244779999884,149.31404779999866,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
8.27,0,1.15,1,3,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,149.31404779999866,149.31404779999866,149.31404779999866,149.31404779999866,149.31404779999866,149.31404779999866,149.31404779999866,149.31404779999866,149.31404779999866,149.31404779999866,n,0.5661616000015783,149.91289909999978,150.9283719999985,150.9283719999985,150.9283719999985,150.9283719999985,150.9283719999985,150.9283719999985,8.27,151.94306529999994,154.95560839999962,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
45.88,0,40.41,1,3.5,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,154.95560839999962,154.95560839999962,154.95560839999962,154.95560839999962,154.95560839999962,154.95560839999962,154.95560839999962,154.95560839999962,154.95560839999962,154.95560839999962,v,0.8683943000014551,155.85391009999876,156.86941259999912,156.86941259999912,156.86941259999912,156.86941259999912,156.86941259999912,156.86941259999912,0,157.8840984999988,161.39573219999875,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
21.56,0,11.96,1,3,2,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,161.39573219999875,161.39573219999875,161.39573219999875,161.39573219999875,161.39573219999875,161.39573219999875,161.39573219999875,161.39573219999875,161.39573219999875,161.39573219999875,n,0.5810887000006915,161.99456549999923,163.00991949999843,163.00991949999843,163.00991949999843,163.00991949999843,163.00991949999843,163.00991949999843,0,164.0248423999983,167.03699639999832,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.03699639999832,167.03699639999832,v,1.5233643000010488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,13.94,0.0,5.03,0,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.58707739999954,168.58707739999954,168.58707739999954,168.58707739999954,168.58707739999954,168.58707739999954,168.58707739999954,168.58707739999954,168.58707739999954,168.58707739999954,2,v,1.2129551000016363,169.81608999999844,170.8315752999988,170.8315752999988,170.8315752999988,170.8315752999988,170.8315752999988,5.03,0,171.8301647999997,175.34142989999964,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,16.11,6.99,6.99,1,,,,,0,1,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.34142989999964,175.34142989999964,175.34142989999964,175.34142989999964,175.34142989999964,175.34142989999964,175.34142989999964,175.34142989999964,175.34142989999964,175.34142989999964,2,n,0.4350248000009742,175.80709119999847,176.82238049999978,176.82238049999978,176.82238049999978,176.82238049999978,176.82238049999978,6.99,1,177.82046309999896,181.3324423999984,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,1,17.0,0.0,9.5,0,,,,,0,2,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.3324423999984,181.3324423999984,181.3324423999984,181.3324423999984,181.3324423999984,181.3324423999984,181.3324423999984,181.3324423999984,181.3324423999984,181.3324423999984,1,v,0.7159424000019499,182.08094419999907,183.09639079999943,183.09639079999943,183.09639079999943,183.09639079999943,183.09639079999943,0.0,1,184.09456709999904,187.10701840000002,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,13.45,0.0,5.27,0,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.10701840000002,187.10701840000002,187.10701840000002,187.10701840000002,187.10701840000002,187.10701840000002,187.10701840000002,187.10701840000002,187.10701840000002,187.10701840000002,2,n,0.5569755000014993,187.68922419999944,188.70451069999945,188.70451069999945,188.70451069999945,188.70451069999945,188.70451069999945,13.45,1,189.70279759999903,192.71523089999937,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,1,11.2,0.0,6.4,0,,,,,0,4,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.71523089999937,192.71523089999937,192.71523089999937,192.71523089999937,192.71523089999937,192.71523089999937,192.71523089999937,192.71523089999937,192.71523089999937,192.71523089999937,1,v,0.637188700000479,193.38059809999868,194.39602829999967,194.39602829999967,194.39602829999967,194.39602829999967,194.39602829999967,11.2,1,195.39420399999835,198.90592449999895,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,1,14.26,0.0,0.0,1,,,,,0,5,5,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.90592449999895,198.90592449999895,198.90592449999895,198.90592449999895,198.90592449999895,198.90592449999895,198.90592449999895,198.90592449999895,198.90592449999895,198.90592449999895,1,n,0.4943739000009373,199.42148069999894,200.4367689999999,200.4367689999999,200.4367689999999,200.4367689999999,200.4367689999999,0.0,0,201.43508629999997,204.9468115999989,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
