riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,etSetupInstText.started,etSetupInstResp.started,etSetupInstResp.keys,etSetupInstResp.rt,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracTriNum.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,pracNoRespTxt.stopped,pracRiskOC.stopped,pracSafeOC.stopped,pracOCtxt.stopped,pracHideRisk.stopped,outcome,itiPracFix.started,itiPracFix.stopped,pracChoiceResp.rt,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realPracNum.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,isiRealFix.stopped,statNoRespTxt.stopped,statRiskOC.stopped,statSafeOC.stopped,statOCtxt.stopped,statHideRisk.stopped,dynamicChoiceSet.routineStartVal,setupBestFitTxt.started,setupBestFitTxt.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,loadDynaChoicesTxt.started,dynaStartTxt.started,dynaStartResp.started,dynaStartResp.keys,dynaStartResp.rt,dynaNoRespTxt.started,dynaRiskOC.started,dynaSafeOC.started,dynaOCtxt.started,dynaHideRisk.started,dynaNoRespTxt.stopped,dynaRiskOC.stopped,dynaSafeOC.stopped,dynaOCtxt.stopped,dynaHideRisk.stopped,cgeRDMendTxt.started,cgeRDMendResp.started,cgeRDMendResp.keys,cgeRDMendResp.rt,ThankYou.started,ThankYou.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.027700400009053,18.027700400009053,return,7.1320433000073535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-10-01_12h26.45.103,cgeRDMtask,2022.2.4,29.934545122689876,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3]","[3, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5]",25.184943700005533,27.199077600002056,return,5.840625500000897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-10-01_12h26.45.103,cgeRDMtask,2022.2.4,29.934545122689876,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.055320900006336,35.023743300000206,v,1.1423962000117172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-10-01_12h26.45.103,cgeRDMtask,2022.2.4,29.934545122689876,
18.23,0,9.45,1,3,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,36.23365799999738,36.23365799999738,36.23365799999738,36.23365799999738,36.23365799999738,36.23365799999738,36.23365799999738,36.23365799999738,36.23365799999738,36.23365799999738,36.23365799999738,None,40.23661550000543,41.23618449999776,41.23618449999776,41.23618449999776,41.23618449999776,41.23618449999776,41.23618449999776,42.239515799999936,42.239515799999936,42.239515799999936,42.239515799999936,42.239515799999936,nan,42.239515799999936,45.272711400000844,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-10-01_12h26.45.103,cgeRDMtask,2022.2.4,29.934545122689876,
53.27,0,35.16,1,3.5,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,45.272711400000844,45.272711400000844,45.272711400000844,45.272711400000844,45.272711400000844,45.272711400000844,45.272711400000844,45.272711400000844,45.272711400000844,45.272711400000844,45.272711400000844,v,49.223159800007124,50.22414750000462,50.22414750000462,50.22414750000462,50.22414750000462,50.22414750000462,50.22414750000462,,,,,,0,51.2439555000019,54.74303320000763,3.9237050999945495,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-10-01_12h26.45.103,cgeRDMtask,2022.2.4,29.934545122689876,
8.27,0,1.15,1,3,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,54.74303320000763,54.74303320000763,54.74303320000763,54.74303320000763,54.74303320000763,54.74303320000763,54.74303320000763,54.74303320000763,54.74303320000763,54.74303320000763,54.74303320000763,v,56.51178770000115,57.5114229000028,57.5114229000028,57.5114229000028,57.5114229000028,57.5114229000028,57.5114229000028,58.51379209999868,58.51379209999868,58.51379209999868,58.51379209999868,58.51379209999868,1.15,58.51379209999868,61.530353499998455,1.7316300000093179,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-10-01_12h26.45.103,cgeRDMtask,2022.2.4,29.934545122689876,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.530353499998455,61.530353499998455,v,5.319574400011334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-10-01_12h26.45.103,cgeRDMtask,2022.2.4,29.934545122689876,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.89870630000951,66.89870630000951,66.89870630000951,66.89870630000951,66.89870630000951,66.89870630000951,66.89870630000951,66.89870630000951,66.89870630000951,66.89870630000951,66.89870630000951,1,v,1.3100972999964142,68.23864189999586,69.26639630000864,69.26639630000864,69.26639630000864,69.26639630000864,69.26639630000864,0.0,1,70.28620760000194,73.28525240000454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-10-01_12h26.45.103,cgeRDMtask,2022.2.4,29.934545122689876,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.28525240000454,73.28525240000454,73.28525240000454,73.28525240000454,73.28525240000454,73.28525240000454,73.28525240000454,73.28525240000454,73.28525240000454,73.28525240000454,73.28525240000454,2,v,2.1037479000078747,75.42265770000813,76.41992270000628,76.41992270000628,76.41992270000628,76.41992270000628,76.41992270000628,3.89,0,77.4394944000087,80.93893760000356,76.41992270000628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-10-01_12h26.45.103,cgeRDMtask,2022.2.4,29.934545122689876,
,,,,,2,17.73,0.0,3.13,0,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.93893760000356,80.93893760000356,80.93893760000356,80.93893760000356,80.93893760000356,80.93893760000356,80.93893760000356,80.93893760000356,80.93893760000356,80.93893760000356,80.93893760000356,2,v,0.5938515000016196,81.5900202000048,82.58998420000717,82.58998420000717,82.58998420000717,82.58998420000717,82.58998420000717,3.13,0,83.59027420000348,87.4918483000074,,83.59027420000348,83.59027420000348,83.59027420000348,83.59027420000348,83.59027420000348,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-10-01_12h26.45.103,cgeRDMtask,2022.2.4,29.934545122689876,
