riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,breaktxt.started,stopBreak.started,stopBreak.keys,stopBreak.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,8.805365200154483,10.813945200294256,return,1.3025794997811317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h38.38.539,CGTriskyDMtask,2022.2.4,60.02231628544678,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.144782999996096,14.141783600207418,v,0.016104099806398153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h38.38.539,CGTriskyDMtask,2022.2.4,60.02231628544678,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,14.194165000226349,14.194165000226349,14.194165000226349,14.194165000226349,14.194165000226349,14.194165000226349,14.194165000226349,16.172927000094205,16.172927000094205,16.172927000094205,v,0.28292049979791045,16.471274100244045,18.49280420038849,18.49280420038849,18.49280420038849,18.49280420038849,18.49280420038849,18.49280420038849,18.23,19.500539400149137,20.526587800122797,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h38.38.539,CGTriskyDMtask,2022.2.4,60.02231628544678,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,20.526587800122797,20.526587800122797,20.526587800122797,20.526587800122797,20.526587800122797,20.526587800122797,20.526587800122797,22.5137261999771,22.5137261999771,22.5137261999771,n,0.2480938001535833,22.778715200256556,23.801332300063223,23.801332300063223,23.801332300063223,23.801332300063223,23.801332300063223,23.801332300063223,35.16,24.808746500406414,27.821362900082022,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h38.38.539,CGTriskyDMtask,2022.2.4,60.02231628544678,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.821362900082022,27.821362900082022,v,1.6471487996168435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h38.38.539,CGTriskyDMtask,2022.2.4,60.02231628544678,
,,,,,1,28.21,0.0,3.89,0,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.499254000373185,29.499254000373185,29.499254000373185,29.499254000373185,29.499254000373185,29.499254000373185,29.499254000373185,31.48358130035922,31.48358130035922,31.48358130035922,1,n,0.12131019961088896,31.632200800348073,32.13342020008713,32.13342020008713,32.13342020008713,32.13342020008713,32.13342020008713,32.13342020008713,3.89,0,33.146625300403684,,,,,,,,,,,,,,,,,,001,2023-01-10_14h38.38.539,CGTriskyDMtask,2022.2.4,60.02231628544678,
,,,,,2,17.73,0.0,3.13,0,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.14977870043367,34.14977870043367,34.14977870043367,34.14977870043367,34.14977870043367,34.14977870043367,34.14977870043367,36.12628270033747,36.12628270033747,36.12628270033747,2,n,0.8560771998018026,37.00747309997678,37.50742810033262,37.50742810033262,37.50742810033262,37.50742810033262,37.50742810033262,37.50742810033262,0.0,1,38.52183119999245,,,,,,,,,,,,,,,,,,001,2023-01-10_14h38.38.539,CGTriskyDMtask,2022.2.4,60.02231628544678,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.53679689997807,39.53679689997807,39.53679689997807,39.53679689997807,39.53679689997807,39.53679689997807,39.53679689997807,41.5015555000864,41.5015555000864,41.5015555000864,1,v,0.9636752996593714,42.482263300102204,42.982783200219274,42.982783200219274,42.982783200219274,42.982783200219274,42.982783200219274,42.982783200219274,0.0,1,43.99698649998754,,,,,,,,,,,,,,,,,,001,2023-01-10_14h38.38.539,CGTriskyDMtask,2022.2.4,60.02231628544678,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd015_muInd001.csv,45.39703410025686,49.405432500410825,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd015_muInd001.csv,15,1,49.405432500410825,8.400017395615578e-05,51.419197800103575,51.419197800103575,return,28.5353954997845,,,,,,001,2023-01-10_14h38.38.539,CGTriskyDMtask,2022.2.4,60.02231628544678,
,,,,,2,13.931925647438,0,0.0813256986439228,,0.939784709123793,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.99615370016545,79.99615370016545,79.99615370016545,79.99615370016545,79.99615370016545,79.99615370016545,79.99615370016545,81.97391360020265,81.97391360020265,81.97391360020265,2,v,0.12401719996705651,82.12282640021294,82.62257450027391,82.62257450027391,82.62257450027391,82.62257450027391,82.62257450027391,82.62257450027391,0.0813256986439228,0,83.63718860037625,,,,,,,,,,,,,,,,,,001,2023-01-10_14h38.38.539,CGTriskyDMtask,2022.2.4,60.02231628544678,
