riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,choice1.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,breaktxt.started,stopBreak.started,stopBreak.keys,stopBreak.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,8.52915700012818,10.531404700130224,return,0.8839151002466679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h46.11.048,CGTriskyDMtask,2022.2.4,60.19904222720672,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.446100099943578,13.443333900067955,n,0.2794802999123931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h46.11.048,CGTriskyDMtask,2022.2.4,60.19904222720672,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,13.759938200004399,13.759938200004399,13.759938200004399,13.759938200004399,13.759938200004399,13.759938200004399,13.759938200004399,15.740792700089514,15.740792700089514,15.740792700089514,None,17.75343989999965,19.772414499893785,19.772414499893785,19.772414499893785,19.772414499893785,19.772414499893785,19.772414499893785,nan,20.78217100026086,21.797917400021106,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h46.11.048,CGTriskyDMtask,2022.2.4,60.19904222720672,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,21.797917400021106,21.797917400021106,21.797917400021106,21.797917400021106,21.797917400021106,21.797917400021106,21.797917400021106,23.795323099941015,23.795323099941015,23.795323099941015,n,24.360008200164884,25.377099600154907,25.377099600154907,25.377099600154907,25.377099600154907,25.377099600154907,25.377099600154907,35.16,26.39042939990759,29.402645899914205,0.5389446001499891,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h46.11.048,CGTriskyDMtask,2022.2.4,60.19904222720672,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.402645899914205,29.402645899914205,v,3.33655839972198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h46.11.048,CGTriskyDMtask,2022.2.4,60.19904222720672,
,,,,,1,17.73,0.0,3.13,0,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.77668400015682,32.77668400015682,32.77668400015682,32.77668400015682,32.77668400015682,32.77668400015682,32.77668400015682,34.76202300004661,34.76202300004661,34.76202300004661,1,v,0.3560000997968018,35.143962000031024,35.6519845998846,35.6519845998846,35.6519845998846,35.6519845998846,35.6519845998846,35.6519845998846,17.73,1,36.658189999870956,,,,,,,,,,,,,,,,,,001,2023-01-10_14h46.11.048,CGTriskyDMtask,2022.2.4,60.19904222720672,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66082089999691,37.66082089999691,37.66082089999691,37.66082089999691,37.66082089999691,37.66082089999691,37.66082089999691,39.63811659999192,39.63811659999192,39.63811659999192,2,v,0.7575219999998808,40.41916859988123,40.92136979987845,40.92136979987845,40.92136979987845,40.92136979987845,40.92136979987845,40.92136979987845,1.99,0,41.933278900105506,,,,,,,,,,,,,,,,,,001,2023-01-10_14h46.11.048,CGTriskyDMtask,2022.2.4,60.19904222720672,
,,,,,1,28.21,0.0,3.89,0,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.93297250010073,42.93297250010073,42.93297250010073,42.93297250010073,42.93297250010073,42.93297250010073,42.93297250010073,44.91354899993166,44.91354899993166,44.91354899993166,1,n,0.36990510020405054,45.311662800144404,45.81555389985442,45.81555389985442,45.81555389985442,45.81555389985442,45.81555389985442,45.81555389985442,3.89,0,46.82627779990435,,,,,,,,,,,,,,,,,,001,2023-01-10_14h46.11.048,CGTriskyDMtask,2022.2.4,60.19904222720672,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd001_muInd001.csv,48.16722990013659,52.16812130017206,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd001_muInd001.csv,1,1,52.16812130017206,8.499994874000549e-05,54.18164870003238,54.18164870003238,return,2.9097863999195397,,,,,,001,2023-01-10_14h46.11.048,CGTriskyDMtask,2022.2.4,60.19904222720672,
,,,,,2,21.0340809716145,0,2.20827516175341,,0.48503124620898,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.12707789987326,57.12707789987326,57.12707789987326,57.12707789987326,57.12707789987326,57.12707789987326,57.12707789987326,59.10902460012585,59.10902460012585,59.10902460012585,2,n,1.5507819005288184,60.68857080023736,61.19647610001266,61.19647610001266,61.19647610001266,61.19647610001266,61.19647610001266,61.19647610001266,0,1,62.20295070018619,,,,,,,,,,,,,,,,,,001,2023-01-10_14h46.11.048,CGTriskyDMtask,2022.2.4,60.19904222720672,
