riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,18.339077099924907,20.337628499954008,return,32.206785800051875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h03.22.290,CGTriskyDMtask,2022.2.4,195.40447780345534,
,,,,,,,,,,,,,,,,,,,,,,52.56276759994216,54.56343540002126,n,3.430116800009273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h03.22.290,CGTriskyDMtask,2022.2.4,195.40447780345534,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,58.041613599983975,58.041613599983975,58.041613599983975,58.041613599983975,58.041613599983975,58.041613599983975,58.041613599983975,60.01617009995971,60.01617009995971,60.01617009995971,None,62.01718660001643,64.0349093999248,64.0349093999248,64.0349093999248,64.0349093999248,64.0349093999248,64.0349093999248,nan,65.05192629992962,66.07290149992332,,,,,,,,,,,,,,,1,,,,,,,,,,,,001,2023-04-19_23h03.22.290,CGTriskyDMtask,2022.2.4,195.40447780345534,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,66.07290149992332,66.07290149992332,66.07290149992332,66.07290149992332,66.07290149992332,66.07290149992332,66.07290149992332,68.07016909995582,68.07016909995582,68.07016909995582,None,70.0710804000264,71.09138180001173,71.09138180001173,71.09138180001173,71.09138180001173,71.09138180001173,71.09138180001173,nan,72.10527970001567,75.12357789999805,,,,,,,,,,,,,,,1,,,,,,,,,,,,001,2023-04-19_23h03.22.290,CGTriskyDMtask,2022.2.4,195.40447780345534,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,,,,,,,,75.12357789999805,75.12357789999805,75.12357789999805,75.12357789999805,75.12357789999805,75.12357789999805,75.12357789999805,77.1244523000205,77.1244523000205,77.1244523000205,None,79.12551829998847,80.14273449999746,80.14273449999746,80.14273449999746,80.14273449999746,80.14273449999746,80.14273449999746,nan,81.15973179996945,83.17926899995655,,,,,,,,,,,,,,,2,,,,,,,,,,,,001,2023-04-19_23h03.22.290,CGTriskyDMtask,2022.2.4,195.40447780345534,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,,,,,,,,83.17926899995655,83.17926899995655,83.17926899995655,83.17926899995655,83.17926899995655,83.17926899995655,83.17926899995655,85.17843480000738,85.17843480000738,85.17843480000738,None,87.17953919991851,90.19752429996151,90.19752429996151,90.19752429996151,90.19752429996151,90.19752429996151,90.19752429996151,nan,91.2146783999633,92.23199589992873,,,,,,,,,,,,,,,1,,,,,,,,,,,,001,2023-04-19_23h03.22.290,CGTriskyDMtask,2022.2.4,195.40447780345534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.23199589992873,92.23199589992873,n,3.28371160000097,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h03.22.290,CGTriskyDMtask,2022.2.4,195.40447780345534,
,,,,,2,17.73,0.0,3.13,0,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.54273909993935,95.54273909993935,95.54273909993935,95.54273909993935,95.54273909993935,95.54273909993935,95.54273909993935,97.5358138999436,97.5358138999436,97.5358138999436,2,None,99.53570280002896,100.03567100001965,100.03567100001965,100.03567100001965,100.03567100001965,100.03567100001965,nan,nan,101.03609509998932,,001,2023-04-19_23h03.22.290,CGTriskyDMtask,2022.2.4,195.40447780345534,
,,,,,1,20.03,0.0,1.99,0,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.03644639998674,102.03644639998674,102.03644639998674,102.03644639998674,102.03644639998674,102.03644639998674,102.03644639998674,104.0377623999957,104.0377623999957,104.0377623999957,1,None,106.03897989995312,106.53908469993621,106.53908469993621,106.53908469993621,106.53908469993621,106.53908469993621,nan,nan,107.53927920002025,,001,2023-04-19_23h03.22.290,CGTriskyDMtask,2022.2.4,195.40447780345534,
,,,,,1,28.21,0.0,3.89,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.53967349999584,108.53967349999584,108.53967349999584,108.53967349999584,108.53967349999584,108.53967349999584,108.53967349999584,110.54079050000291,110.54079050000291,110.54079050000291,1,None,112.54218510002829,113.04204129998107,113.04204129998107,113.04204129998107,113.04204129998107,113.04204129998107,nan,nan,114.04240739997476,,001,2023-04-19_23h03.22.290,CGTriskyDMtask,2022.2.4,195.40447780345534,
