riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,breaktxt.started,stopBreak.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,21.080962000065483,23.074244800023735,return,13.423274699947797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h24.26.439,CGTriskyDMtask,2022.2.4,160.69239126003853,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.527482200064696,38.5284242000198,n,3.895622899988666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h24.26.439,CGTriskyDMtask,2022.2.4,160.69239126003853,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,42.476059500011615,42.476059500011615,42.476059500011615,42.476059500011615,42.476059500011615,42.476059500011615,42.476059500011615,44.44835099996999,44.44835099996999,44.44835099996999,v,1.7326404999475926,46.19927980005741,48.21670109999832,48.21670109999832,48.21670109999832,48.21670109999832,48.21670109999832,48.21670109999832,0,49.23416220000945,50.25740700005554,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h24.26.439,CGTriskyDMtask,2022.2.4,160.69239126003853,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,50.25740700005554,50.25740700005554,50.25740700005554,50.25740700005554,50.25740700005554,50.25740700005554,50.25740700005554,52.252110600005835,52.252110600005835,52.252110600005835,v,0.9877800999674946,53.268920300062746,54.2859138000058,54.2859138000058,54.2859138000058,54.2859138000058,54.2859138000058,54.2859138000058,53.27,55.303214300074615,58.32145509996917,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h24.26.439,CGTriskyDMtask,2022.2.4,160.69239126003853,
8.27,0,1.15,1,2,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,58.32145509996917,58.32145509996917,58.32145509996917,58.32145509996917,58.32145509996917,58.32145509996917,58.32145509996917,60.32228409999516,60.32228409999516,60.32228409999516,n,0.370868599973619,60.722438500029966,61.739610200049356,61.739610200049356,61.739610200049356,61.739610200049356,61.739610200049356,61.739610200049356,0,62.74013659998309,64.75814799999353,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h24.26.439,CGTriskyDMtask,2022.2.4,160.69239126003853,
45.88,0,40.41,3,1,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,64.75814799999353,64.75814799999353,64.75814799999353,64.75814799999353,64.75814799999353,64.75814799999353,64.75814799999353,66.75869919999968,66.75869919999968,66.75869919999968,n,0.9595168000087142,67.74262709997129,70.760705600027,70.760705600027,70.760705600027,70.760705600027,70.760705600027,70.760705600027,40.41,71.77791750000324,72.79519700002857,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h24.26.439,CGTriskyDMtask,2022.2.4,160.69239126003853,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.79519700002857,72.79519700002857,v,1.4094867000821978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_23h24.26.439,CGTriskyDMtask,2022.2.4,160.69239126003853,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.23433710006066,74.23433710006066,74.23433710006066,74.23433710006066,74.23433710006066,74.23433710006066,74.23433710006066,76.23005500005092,76.23005500005092,76.23005500005092,1,v,0.6115088000660762,76.86378919996787,77.38045789999887,77.38045789999887,77.38045789999887,77.38045789999887,77.38045789999887,0.0,1,78.38111269997898,,,,,,,,,,,,,,,,001,2023-04-19_23h24.26.439,CGTriskyDMtask,2022.2.4,160.69239126003853,
,,,,,1,17.73,0.0,3.13,0,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.36494380002841,79.36494380002841,79.36494380002841,79.36494380002841,79.36494380002841,79.36494380002841,79.36494380002841,81.36815770005342,81.36815770005342,81.36815770005342,1,v,0.586146799963899,81.98346540005878,82.49965450004674,82.49965450004674,82.49965450004674,82.49965450004674,82.49965450004674,17.73,1,83.50037939997856,,,,,,,,,,,,,,,,001,2023-04-19_23h24.26.439,CGTriskyDMtask,2022.2.4,160.69239126003853,
,,,,,2,25.2,0.0,5.4,0,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.50085219996981,84.50085219996981,84.50085219996981,84.50085219996981,84.50085219996981,84.50085219996981,84.50085219996981,86.48493110004347,86.48493110004347,86.48493110004347,2,n,0.5832605001050979,87.08535810001194,87.60222490003798,87.60222490003798,87.60222490003798,87.60222490003798,87.60222490003798,0.0,1,88.60271340003237,,,,,,,,,,,,,,,,001,2023-04-19_23h24.26.439,CGTriskyDMtask,2022.2.4,160.69239126003853,
