riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,realChoice.rt,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,breaktxt.started,stopBreak.started,stopBreak.keys,stopBreak.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,41.17596880008932,43.171476699993946,return,9.192376100108959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.38458920002449,54.38585650001187,v,1.8767762000206858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,56.331238600076176,56.331238600076176,56.331238600076176,56.331238600076176,56.331238600076176,56.331238600076176,56.331238600076176,58.2876165000489,58.2876165000489,58.2876165000489,v,0.8481731000356376,59.155896299984306,61.18347440008074,61.18347440008074,61.18347440008074,61.18347440008074,61.18347440008074,61.18347440008074,18.23,62.190991100040264,63.21561950002797,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,63.21561950002797,63.21561950002797,63.21561950002797,63.21561950002797,63.21561950002797,63.21561950002797,63.21561950002797,65.21222019998822,65.21222019998822,65.21222019998822,v,0.7422816000180319,65.97704130003694,67.0038518999936,67.0038518999936,67.0038518999936,67.0038518999936,67.0038518999936,67.0038518999936,53.27,68.00947050005198,71.04905800009146,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
8.27,0,1.15,1,2,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,71.04905800009146,71.04905800009146,71.04905800009146,71.04905800009146,71.04905800009146,71.04905800009146,71.04905800009146,73.03126409999095,73.03126409999095,73.03126409999095,n,0.5877731000073254,73.64656560006551,74.67372220009565,74.67372220009565,74.67372220009565,74.67372220009565,74.67372220009565,74.67372220009565,0,75.68094230000861,77.71962920005899,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
45.88,0,40.41,3,1,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,77.71962920005899,77.71962920005899,77.71962920005899,77.71962920005899,77.71962920005899,77.71962920005899,77.71962920005899,79.70391420007218,79.70391420007218,79.70391420007218,v,0.4342247999738902,80.16511060006451,83.18264780007303,83.18264780007303,83.18264780007303,83.18264780007303,83.18264780007303,83.18264780007303,45.88,84.18521640007384,85.20423480006866,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.20423480006866,85.20423480006866,v,1.486557099968195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
,,,,,1,20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.778444900061,86.778444900061,86.778444900061,86.778444900061,86.778444900061,86.778444900061,86.778444900061,88.72311090002768,88.72311090002768,88.72311090002768,1,None,90.73672300006729,91.23834250005893,91.23834250005893,91.23834250005893,91.23834250005893,91.23834250005893,nan,nan,92.23707340005785,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.25307530001737,93.25307530001737,93.25307530001737,93.25307530001737,93.25307530001737,93.25307530001737,93.25307530001737,95.22383390006144,95.22383390006144,95.22383390006144,2,v,96.99131120007951,97.51528340007644,97.51528340007644,97.51528340007644,97.51528340007644,97.51528340007644,3.89,0,98.50864760007244,1.7465068000601605,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
,,,,,1,25.2,0.0,5.4,0,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.50971790007316,99.50971790007316,99.50971790007316,99.50971790007316,99.50971790007316,99.50971790007316,99.50971790007316,101.49486109998543,101.49486109998543,101.49486109998543,1,v,101.86460810003337,102.3842047000071,102.3842047000071,102.3842047000071,102.3842047000071,102.3842047000071,0.0,1,103.37768600007985,0.33873019996099174,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
,,,,,2,17.73,0.0,3.13,0,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.37878030003048,104.37878030003048,104.37878030003048,104.37878030003048,104.37878030003048,104.37878030003048,104.37878030003048,106.37987250008155,106.37987250008155,106.37987250008155,2,n,106.74909830000252,107.26131780003197,107.26131780003197,107.26131780003197,107.26131780003197,107.26131780003197,0.0,1,108.2617881000042,0.33739770005922765,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd021_muInd001.csv,109.60622290009633,113.63268819998484,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd021_muInd001.csv,21,1,113.63268819998484,8.760008495301008e-05,115.63238259998616,115.63238259998616,return,1.6605414000805467,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
,,,,,1,25.157074133982,0,0.217215789714828,,0.943799206615273,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.33926230005454,117.33926230005454,117.33926230005454,117.33926230005454,117.33926230005454,117.33926230005454,117.33926230005454,119.31927000009455,119.31927000009455,119.31927000009455,1,v,121.18516820005607,121.69625450007152,121.69625450007152,121.69625450007152,121.69625450007152,121.69625450007152,25.157074133982,1,122.68718310003169,1.8463658000109717,,,,,,,,,,,,,,,,,,001,2023-04-21_14h07.06.989,CGTriskyDMtask,2022.2.4,206.0347582564261,
