riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,breaktxt.started,stopBreak.started,stopBreak.keys,stopBreak.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,19.178299400024116,21.174839099985547,return,13.527034600032493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.730708400020376,36.73163279995788,v,0.5277698000427336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,37.304613600019366,37.304613600019366,37.304613600019366,37.304613600019366,37.304613600019366,37.304613600019366,37.304613600019366,39.28805380000267,39.28805380000267,39.28805380000267,v,0.5488903000950813,39.8673443000298,41.894895200035535,41.894895200035535,41.894895200035535,41.894895200035535,41.894895200035535,41.894895200035535,18.23,42.902892599930055,43.94540650001727,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,43.94540650001727,43.94540650001727,43.94540650001727,43.94540650001727,43.94540650001727,43.94540650001727,43.94540650001727,45.922590099973604,45.922590099973604,45.922590099973604,v,0.5555474000284448,46.50344150001183,47.52169510000385,47.52169510000385,47.52169510000385,47.52169510000385,47.52169510000385,47.52169510000385,0,48.53799310000613,51.56118600000627,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
8.27,0,1.15,1,2,2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,51.56118600000627,51.56118600000627,51.56118600000627,51.56118600000627,51.56118600000627,51.56118600000627,51.56118600000627,53.560833299998194,53.560833299998194,53.560833299998194,n,0.48767790000420064,54.075163900037296,55.10339569998905,55.10339569998905,55.10339569998905,55.10339569998905,55.10339569998905,55.10339569998905,8.27,56.109350099926814,58.12963899993338,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
45.88,0,40.41,3,1,1,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,58.12963899993338,58.12963899993338,58.12963899993338,58.12963899993338,58.12963899993338,58.12963899993338,58.12963899993338,60.126531500020064,60.126531500020064,60.126531500020064,v,0.756662099971436,60.911822799942456,63.94374180003069,63.94374180003069,63.94374180003069,63.94374180003069,63.94374180003069,63.94374180003069,45.88,64.9454759999644,65.96410590002779,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.96410590002779,65.96410590002779,v,1.1675977999111637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,1,17.73,0.0,3.13,0,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.18648909998592,67.18648909998592,67.18648909998592,67.18648909998592,67.18648909998592,67.18648909998592,67.18648909998592,69.14739129994996,69.14739129994996,69.14739129994996,1,v,0.5047349000815302,69.68078489997424,70.18779719993472,70.18779719993472,70.18779719993472,70.18779719993472,70.18779719993472,0.0,1,71.18343159998767,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,2,25.2,0.0,5.4,0,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.19715210003778,72.19715210003778,72.19715210003778,72.19715210003778,72.19715210003778,72.19715210003778,72.19715210003778,74.18523369997274,74.18523369997274,74.18523369997274,2,n,0.5270210000453517,74.73517709993757,75.24148750002496,75.24148750002496,75.24148750002496,75.24148750002496,75.24148750002496,25.2,1,76.25146689999383,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,1,28.21,0.0,3.89,0,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.24259339994751,77.24259339994751,77.24259339994751,77.24259339994751,77.24259339994751,77.24259339994751,77.24259339994751,79.23905129998457,79.23905129998457,79.23905129998457,1,v,0.4361458000494167,79.7027407999849,80.22708620002959,80.22708620002959,80.22708620002959,80.22708620002959,80.22708620002959,0.0,1,81.20473570004106,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.21232169994619,82.21232169994619,82.21232169994619,82.21232169994619,82.21232169994619,82.21232169994619,82.21232169994619,84.20815239998046,84.20815239998046,84.20815239998046,2,n,0.476354300044477,84.70471219997853,85.22677900001872,85.22677900001872,85.22677900001872,85.22677900001872,85.22677900001872,0.0,1,86.2239641000051,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd105_muInd201.csv,87.65635629999451,91.67596359993331,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd105_muInd201.csv,105,201,91.67596359993331,3.8800062611699104e-05,93.67580359999556,93.67580359999556,return,1.4858112999936566,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,1,7.66675390849123,0,4.5003943475429,,0.456532801787895,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.19958160002716,95.19958160002716,95.19958160002716,95.19958160002716,95.19958160002716,95.19958160002716,95.19958160002716,97.1784631999908,97.1784631999908,97.1784631999908,1,v,0.6758079999126494,97.88316750002559,98.39674160000868,98.39674160000868,98.39674160000868,98.39674160000868,98.39674160000868,7.66675390849123,1,99.39719719998538,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,1,8.32134093958885,0,7.4256045608432,,2.4295061261112997e-13,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.40044060000218,100.40044060000218,100.40044060000218,100.40044060000218,100.40044060000218,100.40044060000218,100.40044060000218,102.40064859995618,102.40064859995618,102.40064859995618,1,v,0.4722938999766484,102.9004716000054,103.4296906000236,103.4296906000236,103.4296906000236,103.4296906000236,103.4296906000236,8.32134093958885,1,104.41630839998834,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,1,1.62053720630938,0,0.949876057705842,,0.475296336600041,1,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.43557939992752,105.43557939992752,105.43557939992752,105.43557939992752,105.43557939992752,105.43557939992752,105.43557939992752,107.4037819999503,107.4037819999503,107.4037819999503,1,v,0.5459042000584304,107.96642009995412,108.49197410000488,108.49197410000488,108.49197410000488,108.49197410000488,108.49197410000488,0,1,109.48391329997685,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,1,9.88711204302963,0,5.80353321779985,,0.457008479278563,1,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.49264219996985,110.49264219996985,110.49264219996985,110.49264219996985,110.49264219996985,110.49264219996985,110.49264219996985,112.47139540000353,112.47139540000353,112.47139540000353,1,v,0.871286700014025,113.37071369995829,113.88929179997649,113.88929179997649,113.88929179997649,113.88929179997649,113.88929179997649,0,1,114.8880627999315,,,,,,,,,,,,,,,,,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.88855949998833,115.88855949998833,return,1.7032254999503493,,001,2023-04-21_14h13.49.887,CGTriskyDMtask,2022.2.4,163.8882151221563,
