riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,16.536411699999007,18.530265399997006,return,0.696870100000524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h01.38.178,CGTriskyDMtask,2022.2.4,59.98375639728381,
,,,,,,,,,,,,,,,,,,,,,,19.24538500000199,21.2426284999965,v,0.10354650000226684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h01.38.178,CGTriskyDMtask,2022.2.4,59.98375639728381,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,21.407236799990642,21.407236799990642,21.407236799990642,21.407236799990642,21.407236799990642,21.407236799990642,21.407236799990642,23.373057699995115,23.373057699995115,23.373057699995115,v,1.0138879000005545,24.40476229999331,26.423975300000166,26.423975300000166,26.423975300000166,26.423975300000166,26.423975300000166,26.423975300000166,18.23,27.433163399997284,28.473583300001337,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h01.38.178,CGTriskyDMtask,2022.2.4,59.98375639728381,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,28.473583300001337,28.473583300001337,28.473583300001337,28.473583300001337,28.473583300001337,28.473583300001337,28.473583300001337,30.44519379999838,30.44519379999838,30.44519379999838,n,0.4433259000070393,30.910746699999436,31.92604599999322,31.92604599999322,31.92604599999322,31.92604599999322,31.92604599999322,31.92604599999322,35.16,32.9410751999967,35.97505249999813,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h01.38.178,CGTriskyDMtask,2022.2.4,59.98375639728381,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,,,,,,,,35.97505249999813,35.97505249999813,35.97505249999813,35.97505249999813,35.97505249999813,35.97505249999813,35.97505249999813,37.950565999999526,37.950565999999526,37.950565999999526,v,0.6865365999983624,38.66578450000088,39.68826199999603,39.68826199999603,39.68826199999603,39.68826199999603,39.68826199999603,39.68826199999603,1.15,40.696559599993634,42.73268400000234,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h01.38.178,CGTriskyDMtask,2022.2.4,59.98375639728381,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,,,,,,,,42.73268400000234,42.73268400000234,42.73268400000234,42.73268400000234,42.73268400000234,42.73268400000234,42.73268400000234,44.70740329999535,44.70740329999535,44.70740329999535,v,0.673103799999808,45.40605019999202,48.42323299999407,48.42323299999407,48.42323299999407,48.42323299999407,48.42323299999407,48.42323299999407,0,49.43333040000289,50.44847509999818,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h01.38.178,CGTriskyDMtask,2022.2.4,59.98375639728381,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.44847509999818,50.44847509999818,v,1.0785785999905784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_18h01.38.178,CGTriskyDMtask,2022.2.4,59.98375639728381,
,,,,,2,28.21,0.0,3.89,0,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.593942299994524,51.593942299994524,51.593942299994524,51.593942299994524,51.593942299994524,51.593942299994524,51.593942299994524,53.54415059999155,53.54415059999155,53.54415059999155,2,n,0.6981062999984715,54.25936399999773,54.77521290000004,54.77521290000004,54.77521290000004,54.77521290000004,54.77521290000004,0.0,1,55.77379929999006,,,,,,,,,,,,001,2023-04-24_18h01.38.178,CGTriskyDMtask,2022.2.4,59.98375639728381,
,,,,,1,25.2,0.0,5.4,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.77245229999244,56.77245229999244,56.77245229999244,56.77245229999244,56.77245229999244,56.77245229999244,56.77245229999244,58.7527390000032,58.7527390000032,58.7527390000032,1,v,0.38036510000529233,59.15196779998951,59.66800140000123,59.66800140000123,59.66800140000123,59.66800140000123,59.66800140000123,25.2,1,60.667009999990114,,,,,,,,,,,,001,2023-04-24_18h01.38.178,CGTriskyDMtask,2022.2.4,59.98375639728381,
,,,,,1,20.03,0.0,1.99,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.66507139999885,61.66507139999885,61.66507139999885,61.66507139999885,61.66507139999885,61.66507139999885,61.66507139999885,63.64514639999834,63.64514639999834,63.64514639999834,1,None,,65.65892370000074,66.17353010000079,66.17353010000079,66.17353010000079,66.17353010000079,66.17353010000079,nan,nan,67.15678469999693,,,,,,,,,,,,001,2023-04-24_18h01.38.178,CGTriskyDMtask,2022.2.4,59.98375639728381,
